 # filt(alp*rho*Vrz/tfpF)    filt(alp*rho*Vrz)/filt(tfpF)
   0.1084300E+004   0.1142805E+004
   0.9919315E+003   0.1018499E+004
   0.8657541E+003   0.9130120E+003
   0.8066060E+003   0.8702499E+003
   0.7883106E+003   0.8278703E+003
   0.7587290E+003   0.7719687E+003
   0.7165286E+003   0.7404899E+003
   0.7077496E+003   0.7736852E+003
   0.7147856E+003   0.7995908E+003
   0.6811442E+003   0.7499119E+003
   0.6019436E+003   0.6466617E+003
   0.5170525E+003   0.5444352E+003
   0.4805864E+003   0.5101611E+003
   0.4928335E+003   0.5087707E+003
   0.5480077E+003   0.5449223E+003
   0.6389817E+003   0.6315324E+003
   0.7142918E+003   0.7149021E+003
   0.7694210E+003   0.7744906E+003
   0.7868340E+003   0.7928367E+003
   0.7995439E+003   0.8062264E+003
   0.8598520E+003   0.8618252E+003
   0.9383347E+003   0.9319084E+003
   0.1038451E+004   0.1027396E+004
   0.1111136E+004   0.1103895E+004
   0.1174216E+004   0.1204017E+004
   0.1271768E+004   0.1307695E+004
   0.1348335E+004   0.1364079E+004
   0.1401657E+004   0.1438344E+004
   0.1428196E+004   0.1443927E+004
   0.1418626E+004   0.1458684E+004
   0.1353829E+004   0.1434766E+004
   0.1162054E+004   0.1244228E+004
   0.9697335E+003   0.1064474E+004
   0.8107813E+003   0.9114959E+003
   0.7574456E+003   0.8638555E+003
   0.7797415E+003   0.8386714E+003
   0.8402960E+003   0.9001060E+003
   0.9220789E+003   0.1002403E+004
   0.1031176E+004   0.1119947E+004
   0.1108673E+004   0.1188019E+004
   0.1016453E+004   0.1078371E+004
   0.9538053E+003   0.9650086E+003
   0.8717983E+003   0.9156835E+003
   0.8467952E+003   0.8892207E+003
   0.8102026E+003   0.8361736E+003
   0.7627570E+003   0.7676005E+003
   0.7201171E+003   0.7862093E+003
   0.7189955E+003   0.8165538E+003
   0.7198673E+003   0.7924015E+003
   0.6432281E+003   0.7040682E+003
   0.5344011E+003   0.5992622E+003
   0.4590499E+003   0.5180613E+003
   0.4852251E+003   0.5392769E+003
   0.5451678E+003   0.5758392E+003
   0.5992495E+003   0.6142468E+003
   0.6217744E+003   0.6502797E+003
