 # filt(alp*rho*Vrz/tfpF)    filt(alp*rho*Vrz)/filt(tfpF)
   0.9548380E+003   0.1088850E+004
   0.9406065E+003   0.1053502E+004
   0.9030900E+003   0.9875391E+003
   0.8473729E+003   0.9206889E+003
   0.8104585E+003   0.8657814E+003
   0.7776447E+003   0.8397800E+003
   0.7524459E+003   0.8195715E+003
   0.7434240E+003   0.8205647E+003
   0.7194320E+003   0.8032864E+003
   0.6842905E+003   0.7751028E+003
   0.6643504E+003   0.7533622E+003
   0.6465783E+003   0.7187040E+003
   0.6254631E+003   0.6836984E+003
   0.6342500E+003   0.6827308E+003
   0.6640473E+003   0.6970748E+003
   0.6865293E+003   0.7150027E+003
   0.7138043E+003   0.7414222E+003
   0.7599380E+003   0.7841517E+003
   0.7892550E+003   0.8142535E+003
   0.8428109E+003   0.8646261E+003
   0.9177862E+003   0.9283334E+003
   0.9912553E+003   0.9873797E+003
   0.1049300E+004   0.1035387E+004
   0.1128038E+004   0.1121640E+004
   0.1192793E+004   0.1207146E+004
   0.1234716E+004   0.1250451E+004
   0.1280993E+004   0.1307312E+004
   0.1322317E+004   0.1347846E+004
   0.1333892E+004   0.1347467E+004
   0.1321872E+004   0.1319852E+004
   0.1282433E+004   0.1311663E+004
   0.1204186E+004   0.1281945E+004
   0.1116348E+004   0.1210499E+004
   0.1034848E+004   0.1188357E+004
   0.9503541E+003   0.1150453E+004
   0.8913955E+003   0.1076084E+004
   0.8836964E+003   0.1055657E+004
   0.9065685E+003   0.1090811E+004
   0.9407400E+003   0.1118681E+004
   0.9559912E+003   0.1113589E+004
   0.9530927E+003   0.1203256E+004
   0.9440366E+003   0.1114919E+004
   0.9258944E+003   0.9908226E+003
   0.8679055E+003   0.9143986E+003
   0.8208064E+003   0.8617675E+003
   0.7801584E+003   0.8400739E+003
   0.7549681E+003   0.8222114E+003
   0.7266605E+003   0.7972809E+003
   0.6874347E+003   0.7703908E+003
   0.6517318E+003   0.7457139E+003
   0.6288066E+003   0.7277271E+003
   0.6119579E+003   0.7013950E+003
   0.5999914E+003   0.6842778E+003
   0.6133354E+003   0.6940597E+003
   0.6417578E+003   0.7115729E+003
   0.6548876E+003   0.7215462E+003
   0.6613489E+003   0.7305211E+003
   0.6926111E+003   0.7594556E+003
   0.7435535E+003   0.8095426E+003
   0.8419552E+003   0.9088147E+003
   0.9713654E+003   0.1040270E+004
   0.1099712E+004   0.1168465E+004
   0.1197623E+004   0.1281028E+004
   0.1278761E+004   0.1392077E+004
   0.1320997E+004   0.1456224E+004
   0.1328599E+004   0.1453622E+004
   0.1338086E+004   0.1443173E+004
   0.1350104E+004   0.1426759E+004
   0.1351441E+004   0.1395803E+004
   0.1337509E+004   0.1350271E+004
   0.1302767E+004   0.1326707E+004
   0.1240082E+004   0.1305744E+004
   0.1161003E+004   0.1252302E+004
   0.1071650E+004   0.1245461E+004
   0.9860498E+003   0.1222313E+004
   0.9305589E+003   0.1189120E+004
   0.9030655E+003   0.1208588E+004
   0.9085390E+003   0.1238586E+004
   0.9395524E+003   0.1250440E+004
   0.9565002E+003   0.1236692E+004
   0.9600114E+003   0.1198536E+004
   0.9485174E+003   0.1132232E+004
   0.9460856E+003   0.1005317E+004
   0.8976555E+003   0.9429102E+003
   0.8478134E+003   0.8970023E+003
   0.7932725E+003   0.8750356E+003
   0.7585229E+003   0.8466567E+003
   0.7128163E+003   0.7940588E+003
   0.6579003E+003   0.7535993E+003
   0.6235480E+003   0.7276912E+003
   0.6007923E+003   0.7077354E+003
   0.5862988E+003   0.6868925E+003
   0.5805563E+003   0.6770377E+003
   0.5978399E+003   0.6937057E+003
   0.6237347E+003   0.7142714E+003
   0.6346014E+003   0.7196901E+003
   0.6372653E+003   0.7186568E+003
   0.6666815E+003   0.7375746E+003
   0.7313594E+003   0.8167554E+003
   0.8607450E+003   0.9928796E+003
   0.1027283E+004   0.1194870E+004
   0.1187950E+004   0.1358455E+004
   0.1307700E+004   0.1464147E+004
   0.1392496E+004   0.1537499E+004
   0.1427206E+004   0.1557537E+004
   0.1417082E+004   0.1516364E+004
   0.1403986E+004   0.1482686E+004
   0.1395901E+004   0.1458282E+004
   0.1382620E+004   0.1422877E+004
   0.1359477E+004   0.1371748E+004
   0.1325748E+004   0.1327170E+004
   0.1276195E+004   0.1290705E+004
   0.1207234E+004   0.1242295E+004
   0.1120549E+004   0.1242268E+004
   0.1035769E+004   0.1218471E+004
   0.9795606E+003   0.1189825E+004
   0.9376621E+003   0.1197516E+004
   0.9226448E+003   0.1206232E+004
   0.9412626E+003   0.1204045E+004
   0.9566699E+003   0.1203112E+004
   0.9756501E+003   0.1191237E+004
   0.9728761E+003   0.1172995E+004
   0.9827060E+003   0.1056136E+004
   0.9465305E+003   0.1006940E+004
   0.8869859E+003   0.9585395E+003
   0.8135678E+003   0.9303578E+003
   0.7692044E+003   0.8856048E+003
   0.7119345E+003   0.8084543E+003
   0.6380703E+003   0.7412872E+003
   0.5994317E+003   0.7015250E+003
   0.5767251E+003   0.6719492E+003
   0.5646367E+003   0.6457505E+003
   0.5618638E+003   0.6357565E+003
   0.5808953E+003   0.6542417E+003
   0.6081345E+003   0.6848964E+003
   0.6313283E+003   0.7099249E+003
   0.6501464E+003   0.7235444E+003
   0.6902269E+003   0.7491234E+003
   0.7669732E+003   0.8602414E+003
   0.9109748E+003   0.1067308E+004
   0.1079969E+004   0.1257176E+004
   0.1236979E+004   0.1384532E+004
   0.1352463E+004   0.1449083E+004
   0.1427488E+004   0.1485325E+004
   0.1458454E+004   0.1499385E+004
   0.1455828E+004   0.1482830E+004
   0.1436885E+004   0.1475751E+004
   0.1422242E+004   0.1483797E+004
   0.1414259E+004   0.1474128E+004
   0.1391466E+004   0.1437667E+004
   0.1351482E+004   0.1384281E+004
   0.1304364E+004   0.1321342E+004
   0.1246409E+004   0.1251394E+004
   0.1157440E+004   0.1214719E+004
   0.1065512E+004   0.1155735E+004
   0.1001004E+004   0.1103127E+004
   0.9451253E+003   0.1086527E+004
   0.9154283E+003   0.1077361E+004
   0.9267000E+003   0.1090541E+004
   0.9576886E+003   0.1144680E+004
   0.1006314E+004   0.1192957E+004
   0.1022016E+004   0.1236278E+004
   0.1035950E+004   0.1149395E+004
   0.1007883E+004   0.1070406E+004
   0.9401103E+003   0.1021338E+004
   0.8443195E+003   0.9817677E+003
   0.7868512E+003   0.9253871E+003
   0.7205985E+003   0.8369880E+003
   0.6356316E+003   0.7489006E+003
   0.5980405E+003   0.7046413E+003
   0.5909521E+003   0.6822681E+003
   0.5905986E+003   0.6562356E+003
   0.5935746E+003   0.6451435E+003
   0.6126150E+003   0.6599228E+003
   0.6360804E+003   0.6824238E+003
   0.6574593E+003   0.7050851E+003
   0.6878469E+003   0.7346431E+003
