#dudx    dudy    dudz    dvdx    dvdy    dvdz    dwdx    dwdy    dwdz   div(u)  S_norm
  -0.2569060E+001   0.1227044E+002   0.6587190E+001   0.6084392E+001  -0.2332781E+002  -0.1092425E+002  -0.6889886E+002  -0.4084352E+002   0.6705451E+001  -0.1919142E+002   0.3922752E+004
  -0.1913195E+001  -0.1688477E+000   0.4863258E+001   0.8127782E+001  -0.2624007E+002  -0.1237479E+002  -0.4193750E+002  -0.4780051E+002   0.3921646E+001  -0.2423162E+002   0.3041313E+004
   0.5485741E+001  -0.9367029E+001   0.1996461E+001   0.1180526E+002  -0.2384256E+002  -0.4230471E+001  -0.2906888E+002  -0.8271087E+002   0.1159876E+002  -0.6758064E+001   0.4866697E+004
  -0.1421702E+002  -0.1966736E+002   0.3752270E+001  -0.2154142E+002  -0.3552676E+002   0.2730582E+001  -0.9896242E+002  -0.1228225E+003   0.2803900E+002  -0.2170478E+002   0.1468603E+005
  -0.1850644E+002  -0.2476470E+002  -0.2732530E+001  -0.1191530E+002  -0.8777491E+001  -0.2166146E+001   0.2275905E+002  -0.4076201E+001   0.1733399E+002  -0.9949941E+001   0.1579725E+004
  -0.3920398E+001  -0.1151564E+002  -0.1965196E+001  -0.4503105E+001   0.6385833E+000  -0.1838931E+001   0.6888761E+002   0.6194757E+002   0.5108735E+001   0.1826921E+001   0.4214893E+004
   0.1445968E+002  -0.2010819E+001  -0.4547319E+001  -0.5580425E+001  -0.2374011E+001   0.1411844E+001   0.1645310E+002   0.2186903E+002  -0.2960574E+001   0.9125097E+001   0.5664144E+003
   0.1080805E+002  -0.1333700E+001  -0.1060892E+002   0.9595485E+001   0.1256638E+002   0.6878542E+001  -0.1653402E+003  -0.1160765E+003  -0.4237123E+002  -0.1899681E+002   0.2342504E+005
   0.1486520E+002   0.1168455E+002   0.2421408E+001   0.1025454E+002   0.1419973E+002  -0.1439236E+001  -0.5906841E+002  -0.5150434E+002  -0.3491623E+002  -0.5851297E+001   0.4876951E+004
  -0.1234680E+001   0.5364164E+001  -0.5196440E+001  -0.2755139E+001   0.7471693E+001  -0.1746576E+001  -0.5455203E+001  -0.1914678E+002  -0.5035314E+001   0.1201699E+001   0.3606221E+003
  -0.9285282E+001  -0.8905745E+001  -0.7263872E+001  -0.1179953E+002   0.4791626E+001  -0.5291685E+001  -0.2228583E+002  -0.5915601E+001   0.4297997E+001  -0.1956587E+000   0.8413843E+003
  -0.7592694E+000  -0.2295201E+002  -0.9503298E+001  -0.3390519E+001  -0.4198349E+001  -0.1119717E+002  -0.4294335E+001  -0.8639106E+001   0.1335085E+001  -0.3622534E+001   0.6545015E+003
   0.8277605E+001  -0.2117170E+002  -0.5478236E+001   0.3761926E+000  -0.1278091E+002  -0.9620315E+001   0.2333979E+002  -0.8645873E+001   0.4518348E+001   0.1504226E-001   0.7948567E+003
   0.1645261E+002  -0.3009657E+002   0.9593621E+001   0.7229080E+000  -0.2813824E+002   0.5223771E+001   0.2836805E+002  -0.5400224E+002   0.1900848E+002   0.7322855E+001   0.3747516E+004
  -0.1310940E+000  -0.4815403E+002   0.1546661E+002   0.1313008E+002  -0.4084236E+002   0.6445432E+001   0.5890480E+002  -0.1020348E+003   0.2236057E+002  -0.1861288E+002   0.1000019E+005
  -0.1277042E+002  -0.1508920E+002   0.1234736E+002   0.1367598E+002  -0.7034305E+002  -0.2887643E+001   0.3045391E+001  -0.9745987E+002   0.2726768E+002  -0.5584579E+002   0.9969449E+004
  -0.4572721E+001   0.3305450E+002   0.1436194E+002  -0.1897965E+002  -0.9919743E+002  -0.8183887E+001  -0.2475995E+002  -0.8595599E+002   0.3404101E+002  -0.6972915E+002   0.1398338E+005
   0.2470699E+001   0.6795771E+002   0.1701827E+002  -0.6494999E+002  -0.1158395E+003  -0.1181874E+002  -0.3495288E+002  -0.6989308E+002   0.3317617E+002  -0.8019261E+002   0.1588569E+005
  -0.4924899E+001   0.3855427E+002   0.1009510E+002   0.1368411E+002  -0.9391585E+002  -0.2873974E+002   0.3865297E+002  -0.6851447E+002   0.8934564E+001  -0.8990618E+002   0.1351170E+005
  -0.1307392E+001   0.1706026E+002   0.1907263E+001   0.5843569E+002  -0.4788154E+002  -0.3993463E+002   0.6969716E+002  -0.5434685E+002  -0.7403966E+001  -0.5659290E+002   0.1113950E+005
  -0.9711130E+001   0.1212098E+002   0.5000906E+000   0.3748550E+002   0.9106776E+001  -0.2225877E+002   0.3390747E+002  -0.2161009E+002  -0.1950103E+001  -0.2554457E+001   0.2963447E+004
  -0.6333093E+001   0.2582909E+002   0.8582392E+001   0.1476047E+002   0.6055110E+001  -0.1741686E+002   0.1853854E+002  -0.2645874E+002  -0.7904110E+001  -0.8182093E+001   0.2270994E+004
   0.9697634E+001   0.4260881E+002   0.1737186E+002  -0.9419655E+001  -0.1528026E+002  -0.2383896E+002  -0.2375209E+002  -0.5113048E+002  -0.1535637E+002  -0.2093900E+002   0.3798524E+004
   0.1479546E+002   0.4080450E+002   0.1660977E+002  -0.3589887E+002  -0.3820866E+002  -0.2726816E+002  -0.8503740E+002  -0.5840905E+002  -0.8371600E+000  -0.2425037E+002   0.7506976E+004
   0.5290181E+001   0.2390671E+002   0.1157492E+002  -0.1225942E+002  -0.3355445E+002  -0.2092574E+002  -0.1324267E+003  -0.4567862E+001   0.3271987E+002   0.4455601E+001   0.9913224E+004
   0.4714889E+001   0.1740337E+002   0.6654683E+001   0.8172597E+001  -0.1269786E+002  -0.8662859E+001   0.1669862E+000  -0.2342565E+002   0.1445211E+002   0.6469143E+001   0.1243548E+004
