#dudx    dudy    dudz    dvdx    dvdy    dvdz    dwdx    dwdy    dwdz   div(u)  S_norm
  -0.9922332E+000   0.1671550E+001   0.3578561E+001   0.7229337E+001  -0.4574439E+001  -0.4938614E+001  -0.2114854E+002  -0.6992033E+002   0.6545914E+001   0.9792413E+000   0.3060335E+004
  -0.3725628E+001  -0.1214013E+001   0.4705124E+001   0.6154563E+001  -0.4361468E+001  -0.6034258E+001  -0.4500707E+002  -0.5948061E+002   0.9574838E+001   0.1487741E+001   0.3094269E+004
  -0.1093836E+002  -0.1267620E+002   0.4353028E+001   0.6771030E+001  -0.6331916E+001  -0.3528476E+001  -0.6701924E+002  -0.7335208E+002   0.1828812E+002   0.1017842E+001   0.5430123E+004
  -0.1111599E+002  -0.1518229E+002  -0.1253343E+001  -0.5774591E+001  -0.6459956E+001  -0.2115343E+001  -0.1523501E+002  -0.2267083E+002   0.1614071E+002  -0.1435237E+001   0.1087838E+004
  -0.6007028E+001  -0.9016994E+001  -0.2428638E+001  -0.5531444E+001  -0.1381296E+001  -0.2509817E+001   0.4480140E+001   0.1044002E+002   0.1241446E+002   0.5026132E+001   0.3230673E+003
   0.1700929E+001  -0.4686742E+001  -0.3607712E+001  -0.6413418E+001   0.3926066E+000  -0.1919012E+001   0.1061984E+002   0.2738368E+002   0.1650181E+001   0.3743717E+001   0.4115151E+003
   0.7702144E+001   0.1193029E+002  -0.1546958E+001  -0.1207583E+001   0.6350031E+001   0.4094587E+000  -0.4130001E+002  -0.7050451E+002  -0.1901965E+002  -0.4967480E+001   0.3885245E+004
   0.2143583E+002   0.1752326E+002   0.1264792E+001   0.1070508E+002   0.1075062E+002   0.2278828E+001  -0.1053933E+003  -0.1258150E+003  -0.4246580E+002  -0.1027935E+002   0.1579358E+005
   0.9754592E+001   0.5918289E+001  -0.4067250E+001   0.5131896E+001   0.8309258E+001  -0.1668023E+001  -0.6811192E+002  -0.8856893E+002  -0.2051184E+002  -0.2447986E+001   0.7320257E+004
   0.3587241E+001  -0.2212416E+001  -0.5329339E+001  -0.1256478E+001   0.4708314E+001  -0.5481931E+001  -0.1721340E+002  -0.2505584E+002  -0.8182732E+000   0.7477282E+001   0.7434514E+003
  -0.2877067E+001  -0.5118276E+001  -0.8164031E+001  -0.5142455E+001   0.2213491E+001  -0.6090229E+001  -0.3433636E+001  -0.8394845E+001   0.5493180E+001   0.4829604E+001   0.2603800E+003
