 # filt(alp*rho*Vrx/tfpF)    filt(alp*rho*Vrx)/filt(tfpF)
  -0.1408246E+003  -0.1509444E+003
  -0.1421915E+003  -0.1467501E+003
  -0.1359791E+003  -0.1443398E+003
  -0.1347902E+003  -0.1461762E+003
  -0.1554604E+003  -0.1644105E+003
  -0.1485908E+003  -0.1564078E+003
  -0.1104148E+003  -0.1158525E+003
  -0.9005309E+002  -0.9172478E+002
  -0.9611636E+002  -0.9447161E+002
  -0.1601764E+003  -0.1519941E+003
  -0.2599527E+003  -0.2489379E+003
  -0.3254694E+003  -0.3138040E+003
  -0.3295741E+003  -0.3224028E+003
  -0.3186639E+003  -0.3230928E+003
  -0.2858170E+003  -0.3059210E+003
  -0.1336642E+003  -0.1963390E+003
  -0.2340953E+002  -0.6226062E+002
   0.1678317E+003   0.2137344E+003
   0.4572254E+003   0.4950344E+003
   0.4438681E+003   0.4676404E+003
   0.4018534E+003   0.4219431E+003
   0.3656510E+003   0.3523939E+003
   0.1536906E+003   0.1730660E+003
   0.1413424E+003   0.1618656E+003
   0.1573866E+003   0.1754092E+003
   0.2177519E+003   0.2255393E+003
   0.2792605E+003   0.2817167E+003
   0.3081360E+003   0.3063011E+003
   0.2722286E+003   0.2654613E+003
   0.1735877E+003   0.1658480E+003
   0.2301970E+002   0.1771631E+002
  -0.9222430E+002  -0.9941034E+002
  -0.1379219E+003  -0.1459675E+003
  -0.1068298E+003  -0.1099515E+003
  -0.3651913E+002  -0.3707433E+002
   0.1810462E+002   0.1846825E+002
   0.5160522E+002   0.5379455E+002
   0.2753693E+002   0.2894588E+002
  -0.4983248E+002  -0.5575794E+002
  -0.1131258E+003  -0.1237758E+003
  -0.8890540E+002  -0.9218244E+002
  -0.1088286E+003  -0.1104031E+003
  -0.1383179E+003  -0.1471795E+003
  -0.1564254E+003  -0.1679399E+003
  -0.1790418E+003  -0.1886656E+003
  -0.1746366E+003  -0.1808056E+003
  -0.1264045E+003  -0.1352773E+003
  -0.1175527E+003  -0.1249568E+003
  -0.1478173E+003  -0.1458013E+003
  -0.2237578E+003  -0.2116959E+003
  -0.3043270E+003  -0.2870296E+003
  -0.3124739E+003  -0.2878823E+003
  -0.2735092E+003  -0.2564446E+003
