# ~alp d~p/dz   Phi_p_sgs,z
  -0.1019889E+002   0.1506133E+001
  -0.1142593E+002   0.1668249E+001
  -0.1343541E+002   0.1108500E+001
  -0.1647881E+002   0.9307459E+000
  -0.1897300E+002   0.2462715E+001
  -0.2389232E+002   0.4114668E+001
  -0.2669872E+002   0.6199361E+001
  -0.2810167E+002   0.1046364E+002
  -0.2823342E+002   0.1293797E+002
  -0.2943106E+002   0.1309588E+002
  -0.2606424E+002   0.1143572E+002
  -0.2371711E+002   0.1067014E+002
  -0.2190007E+002   0.7657974E+001
  -0.1973437E+002   0.4634528E+001
  -0.1566772E+002   0.3185125E+001
  -0.1327241E+002   0.2624418E+001
  -0.1200038E+002   0.2654985E+001
  -0.1017201E+002   0.2608830E+001
  -0.8240390E+001   0.2946145E+001
  -0.7035663E+001   0.3778092E+001
  -0.5983887E+001   0.3549713E+001
  -0.4238666E+001   0.2895671E+001
  -0.2294646E+001   0.2507249E+001
  -0.4642115E+000   0.3270596E+001
   0.1257239E+001   0.4945262E+001
   0.3100540E+001   0.6735857E+001
   0.6087327E+001   0.9319371E+001
   0.9846419E+001   0.1295446E+002
   0.1380422E+002   0.2034072E+002
   0.1854755E+002   0.3479786E+002
   0.2038657E+002   0.4829933E+002
   0.1181238E+002   0.5708699E+002
  -0.9005589E+000   0.6102198E+002
  -0.1127038E+002   0.5927908E+002
  -0.1637619E+002   0.4266831E+002
  -0.1474147E+002   0.1714415E+002
  -0.1193070E+002   0.4806370E+001
  -0.1055406E+002   0.1802752E+001
  -0.9704510E+001   0.1332966E+001
  -0.9923070E+001   0.1454591E+001
  -0.1706695E+002   0.3299861E+001
  -0.1460625E+002   0.1475909E+001
  -0.1313280E+002   0.5659379E+000
  -0.1526472E+002   0.3242857E+000
  -0.1756370E+002   0.1063238E+001
  -0.2185204E+002   0.2337401E+001
  -0.2461501E+002   0.4013503E+001
  -0.2617147E+002   0.8139703E+001
  -0.2662630E+002   0.1078604E+002
  -0.2881582E+002   0.1223783E+002
  -0.2657578E+002   0.1175127E+002
  -0.2382605E+002   0.1111521E+002
  -0.2127877E+002   0.8073160E+001
  -0.1914146E+002   0.5099166E+001
  -0.1514770E+002   0.3449602E+001
  -0.1296594E+002   0.2722584E+001
  -0.1204303E+002   0.2608645E+001
  -0.1060871E+002   0.2637301E+001
  -0.8924771E+001   0.4237055E+001
  -0.7326649E+001   0.7437026E+001
  -0.5451746E+001   0.1087680E+002
  -0.2644853E+001   0.1358512E+002
   0.5102850E+000   0.1733468E+002
   0.4118612E+001   0.2208224E+002
   0.7003594E+001   0.2376095E+002
   0.8831100E+001   0.2149250E+002
   0.1189108E+002   0.1900726E+002
   0.1557702E+002   0.1777414E+002
   0.1770920E+002   0.1768751E+002
   0.2080310E+002   0.2211829E+002
   0.2380385E+002   0.3275539E+002
   0.1739878E+002   0.4174758E+002
   0.4811969E+001   0.4580653E+002
  -0.7704020E+001   0.4848042E+002
  -0.1856895E+002   0.4580730E+002
  -0.2367838E+002   0.2989290E+002
  -0.2740905E+002   0.2003708E+002
  -0.2799504E+002   0.1646431E+002
  -0.2298078E+002   0.1148951E+002
  -0.1911395E+002   0.5880676E+001
  -0.1751680E+002   0.5836716E+001
  -0.1465180E+002   0.2239687E+001
  -0.1144061E+002  -0.1766987E+000
  -0.1305570E+002  -0.2346765E+000
  -0.1492277E+002   0.3864473E+000
  -0.1841386E+002   0.1262574E+001
  -0.2099500E+002   0.2615795E+001
  -0.2254312E+002   0.5929035E+001
  -0.2274666E+002   0.7829354E+001
  -0.2476755E+002   0.9352289E+001
