#sig_xx    sig_xy    sig_xz    sig_yy    sig_yz    sig_zz
   0.4413588E+000  -0.8471298E-001   0.7290317E+000   0.5280120E-001  -0.2179280E+000   0.1859676E+001
   0.9020270E+000  -0.5635160E-001   0.6066918E+000   0.2723250E-001  -0.2991807E-001   0.8948910E+000
   0.1281525E+001   0.2086441E-001   0.7954630E+000   0.4553259E-001   0.5085191E-001   0.6332068E+000
   0.4780968E+000  -0.3700698E-001   0.4116781E+000   0.6191613E-001  -0.1992344E-001   0.5265616E+000
   0.1966200E+000  -0.1171344E-001  -0.8289209E-001   0.7767822E-001   0.8635816E-001   0.2849580E+000
   0.4937902E+000  -0.2206732E+000   0.5603352E-002   0.3215731E+000  -0.7799142E-001   0.2475982E+000
   0.5939590E+000  -0.4062604E+000   0.3201998E+000   0.4604945E+000  -0.2162883E+000   0.2592139E+000
   0.5216674E+000  -0.3896877E+000   0.3596149E+000   0.3985180E+000  -0.2705206E+000   0.3442790E+000
   0.1486998E+000  -0.7715341E-001   0.1893928E-001   0.9702246E-001   0.8991445E-002   0.1635704E+000
   0.3687770E+000  -0.7533555E-001   0.3582187E+000   0.4553251E-001  -0.2268187E-001   0.7692807E+000
   0.4423926E+000  -0.7629643E-001   0.4141129E+000   0.2587304E-001  -0.8213166E-001   0.8570737E+000
   0.3556741E+000  -0.7797221E-001  -0.1135717E+000   0.3720720E-001   0.1558166E-001   0.2809496E+000
   0.3179779E+000  -0.1152894E+000  -0.5991196E-001   0.1208551E+000  -0.3166401E-001   0.1129091E+000
   0.1787581E+000  -0.8930666E-001   0.2275267E-001   0.2385695E+000  -0.2084163E+000   0.3648184E+000
   0.4620457E-001  -0.4193050E-002   0.1232660E+000   0.6667600E-001  -0.1427864E+000   0.8643594E+000
   0.2736052E-001  -0.8184841E-002   0.5153567E-001   0.8368298E-002  -0.3740784E-001   0.1030089E+001
   0.5019796E-001  -0.1107800E-001  -0.1287851E-001   0.7714712E-002   0.1378030E-001   0.4923866E-001
   0.3610738E-001  -0.9150428E-002   0.5467611E-001   0.5077124E-002  -0.1250358E-001   0.1137204E+000
   0.1382392E+000  -0.8048751E-001   0.2078069E+000   0.5502190E-001  -0.1385463E+000   0.4029704E+000
   0.2084151E+000  -0.1440201E+000   0.3617640E+000   0.1187714E+000  -0.2997714E+000   0.8123657E+000
   0.3929166E+000   0.1527908E+000  -0.5166328E+000   0.3022865E+000  -0.8740745E+000   0.3351315E+001
   0.8871905E+000   0.5461376E+000  -0.1992596E+001   0.8531763E+000  -0.1808913E+001   0.6868200E+001
   0.3268662E+000   0.9957539E-001   0.2155877E+000   0.9852334E+000  -0.9152322E+000   0.3596819E+001
   0.3822714E+000   0.1027263E+000   0.3274894E+000   0.6365678E+000  -0.6275835E+000   0.2000205E+001
   0.4863804E+000   0.3210523E+000  -0.1329488E+000   0.4375116E+000  -0.3218833E+000   0.6937541E+000
   0.6122160E+000   0.3399995E+000  -0.3206441E-001   0.3457331E+000  -0.9404095E-001   0.4580538E+000
   0.3871053E+000   0.2016482E+000   0.2918791E+000   0.2172003E+000   0.1958288E+000   0.6532567E+000
   0.2465933E+000   0.5221351E-001   0.1724149E+000   0.5785215E-001   0.4352450E-001   0.3313922E+000
   0.1516188E+001   0.1623093E+001   0.3470125E-001   0.2047403E+001  -0.1560275E+000   0.9539383E+000
   0.1193326E+001   0.1074842E+001  -0.6584641E+000   0.1394506E+001  -0.5875962E+000   0.1240078E+001
   0.5896036E+000   0.1607144E+000   0.6633885E+000   0.4415118E+000   0.3563521E+000   0.2015408E+001
   0.8523054E+000   0.1623292E+000   0.1686383E+001   0.2510624E+000   0.4337745E+000   0.3909843E+001
   0.4035703E-001  -0.4687368E-001  -0.3604595E-001   0.1951316E+000   0.3076986E+000   0.6400207E+000
   0.1360193E+000  -0.8716947E-002  -0.1176153E+000   0.5313420E-001  -0.5800269E-001   0.2360095E+000
   0.1025834E+000   0.5196353E-001  -0.1707763E+000   0.4632023E-001  -0.9877262E-001   0.4283100E+000
   0.2537118E-001   0.1372635E-001   0.2011470E-001   0.1811525E-001   0.4519714E-001   0.1826639E+000
   0.4889614E-001   0.7920073E-002  -0.8071936E-001   0.1278582E-001   0.3966253E-001   0.4426090E+000
   0.5540399E-001   0.1128682E-001  -0.1180485E+000   0.9170231E-002   0.9911512E-002   0.5523036E+000
   0.3075603E-001   0.3692144E-002   0.2375959E-001   0.1218256E-001  -0.3929788E-001   0.1271402E+001
   0.1559120E+000  -0.6982958E-001   0.4735171E+000   0.5666249E-001  -0.2470265E+000   0.1696888E+001
   0.4026158E-001  -0.2883554E-001   0.1998119E+000   0.2500612E-001  -0.1564999E+000   0.1217788E+001
   0.1186207E+000  -0.5740345E-001   0.3334899E+000   0.5838995E-001  -0.2481193E+000   0.1710524E+001
   0.2587415E+000  -0.1984346E-001   0.3624395E+000   0.5570921E-001  -0.1187850E+000   0.1000542E+001
   0.1179100E+001  -0.5640178E-001   0.1247204E+001   0.3754282E-001  -0.6865813E-001   0.1394481E+001
   0.4279543E+000  -0.4239851E-001   0.1229112E+000   0.7284331E-001   0.1782132E-001   0.1866027E+000
   0.7539094E+000  -0.2371756E+000  -0.1838124E-001   0.4072407E+000  -0.1156506E+000   0.2816320E+000
   0.2530547E+000  -0.8442681E-001  -0.2496367E-002   0.4965907E+000  -0.2722925E+000   0.4742812E+000
   0.5650348E-001  -0.1406256E-001   0.4768536E-001   0.1560532E+000  -0.1250363E+000   0.3011953E+000
   0.1075717E+000  -0.5380448E-001   0.1138999E+000   0.8950711E-001  -0.2481078E-001   0.4114090E+000
   0.5211904E+000  -0.1262215E+000   0.6537191E+000   0.1656832E+000  -0.2229979E+000   0.1453415E+001
   0.5457583E+000  -0.2554237E-001   0.1037482E+000   0.1003826E+000  -0.3816122E-001   0.4874963E+000
   0.1408007E+000  -0.2971666E-001  -0.2052772E+000   0.4650611E-001   0.8610927E-001   0.4405715E+000
   0.4273245E-001   0.1402506E-003  -0.5635954E-001   0.5254920E-001  -0.1274143E-001   0.4111474E+000
   0.2807604E-001  -0.1408586E-002   0.6374370E-001   0.4743550E-001  -0.8855615E-001   0.1047945E+001
   0.1156378E+000  -0.1932956E-001   0.3910650E+000   0.2185661E-001  -0.1160017E+000   0.1633232E+001
   0.3367190E-001  -0.1156340E-001  -0.1945623E-001   0.1371290E-001   0.2492829E-001   0.3231914E+000
   0.4179377E-001  -0.6206369E-002  -0.6860541E-002   0.4287108E-002  -0.6326247E-003   0.8307151E-001
   0.1306938E+000  -0.3797768E-001   0.1026263E+000   0.1667280E-001  -0.3900256E-001   0.1063178E+000
   0.1367100E+000  -0.5279011E-001   0.1210560E+000   0.4285607E-001  -0.6938338E-001   0.1432201E+000
   0.5319212E-001  -0.2447951E-001   0.5304502E-001   0.4682309E-001  -0.4431040E-001   0.7487817E-001
   0.2325350E+000   0.1945144E+000  -0.8211166E+000   0.6835219E+000  -0.1591446E+001   0.5030334E+001
   0.5153547E+000   0.1200469E+000  -0.1270422E+001   0.9467967E+000  -0.4026636E+000   0.3866847E+001
   0.1760202E+001   0.9043910E+000  -0.1746597E+001   0.1534559E+001  -0.9385545E+000   0.2238249E+001
   0.2483566E+001   0.1439912E+001  -0.1465659E+001   0.1171635E+001  -0.8780292E+000   0.1534030E+001
   0.2002717E+001   0.1071886E+001  -0.9943927E+000   0.7360445E+000  -0.5525311E+000   0.6796411E+000
   0.1185868E+001   0.5971960E+000  -0.6378345E+000   0.3806245E+000  -0.3122220E+000   0.4842312E+000
   0.4429572E+000   0.2996083E+000  -0.7428919E-001   0.3376760E+000   0.4682336E-001   0.2163780E+000
   0.5994575E+000  -0.8547425E-002   0.6088780E+000   0.1572022E+000   0.4466212E-001   0.9873155E+000
   0.1962383E+001   0.1732878E+001  -0.7899555E+000   0.2380030E+001  -0.1272893E+001   0.2282933E+001
   0.1332475E+001   0.8957747E+000  -0.9920924E+000   0.1389447E+001  -0.2532530E+000   0.2316184E+001
   0.7736040E+000   0.1953059E+000   0.1518175E+001   0.4976765E+000   0.1276542E+001   0.6618411E+001
   0.7664720E+000   0.1775432E+000   0.2287481E+001   0.1572639E+000   0.7551268E+000   0.1043849E+002
   0.9435561E-001  -0.4051023E-002  -0.1652513E+000   0.1298977E+000   0.7033731E-001   0.7090921E+000
   0.6124843E-001  -0.2903299E-001   0.1849297E-001   0.1484525E+000  -0.2072192E+000   0.3676461E+000
   0.5846743E-001   0.2384947E-001  -0.1730766E+000   0.2815524E-001  -0.1012384E+000   0.7244391E+000
   0.1068461E+000   0.4478530E-001  -0.1868568E+000   0.2250914E-001  -0.8587078E-001   0.5648485E+000
   0.9292307E-001   0.2099468E-001  -0.8811853E-001   0.1223869E-001   0.2755675E-001   0.4446230E+000
   0.6428789E-001   0.1578219E-001  -0.9486044E-001   0.5689077E-002  -0.6804948E-002   0.3901502E+000
   0.3601217E-001   0.7091149E-002  -0.4114618E-001   0.2226698E-002  -0.9421898E-002   0.1066066E+000
   0.8411521E-002   0.1135238E-002  -0.1831253E-001   0.9229168E-003  -0.4848291E-002   0.2235729E+000
