# ~alp d~p/dy   Phi_p_sgs,y
  -0.1039409E+002   0.1545290E+001
   0.4523967E+001   0.2501963E+001
  -0.1128490E+002  -0.3075069E-001
  -0.4701249E+002  -0.8497077E-001
  -0.1796670E+002   0.1920744E+001
   0.6905948E+001   0.3631026E+001
   0.3105971E+002   0.4705332E+001
   0.7581239E+002   0.8020600E+001
  -0.4943031E+000   0.8150530E+000
  -0.9107555E+001  -0.1197114E+000
   0.3302319E+001  -0.2420577E+000
   0.2745158E+001   0.2708046E+000
   0.2297933E+001  -0.4782548E-001
   0.1933584E+002  -0.2420499E+000
   0.7787283E+002   0.2473290E+002
  -0.9623091E+003  -0.1370819E+002
  -0.7979224E+003  -0.3081092E+003
  -0.3868859E+002  -0.1052492E+002
   0.1360315E+001  -0.2494811E+000
   0.1390458E+001   0.3674698E-002
   0.1386902E+001  -0.3224749E-001
   0.1050484E+001  -0.1008481E-001
   0.4746216E+000   0.1703813E-002
   0.7880210E+000  -0.2922436E-001
  -0.6694210E+000   0.5714125E-001
  -0.1029466E+001   0.9128594E-002
  -0.1741562E+001   0.3897197E-001
  -0.7280360E+000  -0.1084117E-001
   0.4990491E+000   0.1076261E+000
  -0.1107113E+001  -0.1694136E+000
  -0.6038252E+001  -0.8840390E-001
  -0.1193514E+002  -0.1545880E+001
  -0.1005280E+002  -0.4390189E+000
  -0.4130940E+001  -0.4379147E-001
  -0.3681769E+001  -0.1558782E+000
  -0.7408201E+001  -0.2928755E+000
  -0.2321426E+001  -0.3824286E-001
  -0.1533973E+001   0.4073884E-002
  -0.2057826E+001  -0.6798914E-002
  -0.4004692E+001   0.1157197E+000
  -0.8295805E+001   0.6508444E+000
  -0.1661938E+002   0.2505110E+001
  -0.3720007E+002   0.5544116E+001
  -0.4555009E+002   0.4124035E+000
  -0.9812147E+001   0.1541555E+001
  -0.5779646E+001   0.1225455E+001
  -0.6603729E+001   0.2758156E+000
  -0.6681328E+001   0.1366989E+001
  -0.4855293E+000   0.3342009E+001
  -0.5365969E+001   0.1793384E+000
  -0.5072206E+001   0.2814706E+000
   0.8253655E+000  -0.1973471E-001
   0.4654804E+001  -0.9051571E-001
  -0.2154724E+001  -0.4454408E+001
  -0.4899161E+002   0.4734547E+000
  -0.2636256E+003   0.1034015E+001
  -0.1827110E+004   0.7647252E+001
