#~alp   var(alpha)   ~u   ~v   ~w   ~qp
   0.9882485E+000   0.0000000E+000   0.2985475E+000  -0.2518108E+000   0.1720009E+001   0.0000000E+000
   0.9860449E+000   0.0000000E+000   0.2655128E+000  -0.1529548E-001   0.1387765E+001   0.0000000E+000
   0.8665825E+000   0.0000000E+000   0.6736778E-001   0.2520132E+000   0.2851440E+000   0.0000000E+000
   0.9759476E+000   0.0000000E+000   0.7368644E-001   0.1896738E+000   0.1113304E+001   0.0000000E+000
   0.9799544E+000   0.0000000E+000   0.9063450E-001   0.9636755E-001   0.1494822E+001   0.0000000E+000
   0.9911576E+000   0.0000000E+000  -0.7015903E-001  -0.3322301E-001   0.2121569E+001   0.0000000E+000
   0.9959388E+000   0.0000000E+000  -0.2571368E+000  -0.1612115E+000   0.3285712E+001   0.0000000E+000
   0.9964821E+000   0.0000000E+000  -0.3476906E+000  -0.5192016E+000   0.4183184E+001   0.0000000E+000
   0.9951450E+000   0.0000000E+000  -0.3490392E+000  -0.5306628E+000   0.4228181E+001   0.0000000E+000
   0.9927944E+000   0.0000000E+000  -0.2748452E+000  -0.5343505E+000   0.4063618E+001   0.0000000E+000
   0.9927816E+000   0.0000000E+000  -0.1704792E+000  -0.5224147E+000   0.4525531E+001   0.0000000E+000
   0.9954518E+000   0.0000000E+000  -0.1361868E-001  -0.4289438E+000   0.5486138E+001   0.0000000E+000
   0.9970491E+000   0.0000000E+000   0.1060632E+000  -0.3603157E+000   0.5986371E+001   0.0000000E+000
   0.9976022E+000   0.0000000E+000   0.2403612E+000  -0.1635763E+000   0.6086678E+001   0.0000000E+000
   0.9974976E+000   0.0000000E+000   0.3663249E+000   0.1775839E+000   0.5382359E+001   0.0000000E+000
   0.9963988E+000   0.0000000E+000   0.2478389E+000   0.1720945E+000   0.2944284E+001   0.0000000E+000
   0.9930164E+000   0.0000000E+000   0.1370150E+000   0.3211791E-001   0.1003052E+001   0.0000000E+000
   0.9699474E+000   0.0000000E+000   0.3290547E+000   0.1932728E+000  -0.9488906E+000   0.0000000E+000
   0.8527992E+000   0.0000000E+000   0.2541244E+000   0.9968284E-001  -0.1599532E+001   0.0000000E+000
   0.9458475E+000   0.0000000E+000  -0.3218949E-001   0.4531356E-002  -0.8948318E+000   0.0000000E+000
   0.9669642E+000   0.0000000E+000  -0.1113085E+000   0.2764239E+000   0.1161585E+000   0.0000000E+000
   0.9821764E+000   0.0000000E+000  -0.7879455E-001   0.3154446E+000   0.5959237E+000   0.0000000E+000
   0.9741493E+000   0.0000000E+000  -0.7129684E-001   0.3173188E+000   0.8170723E+000   0.0000000E+000
   0.9881120E+000   0.0000000E+000  -0.3585319E-001   0.4708244E+000   0.1594326E+001   0.0000000E+000
   0.9905955E+000   0.0000000E+000   0.1099323E-001   0.3310095E+000   0.2059349E+001   0.0000000E+000
   0.9874106E+000   0.0000000E+000   0.3166020E-001  -0.1490542E-001   0.2122028E+001   0.0000000E+000
   0.9799271E+000   0.0000000E+000   0.1053657E+000  -0.2449971E+000   0.1846348E+001   0.0000000E+000
   0.9573572E+000   0.0000000E+000   0.1829782E+000  -0.1885523E+000   0.1191829E+001   0.0000000E+000
   0.9445647E+000   0.0000000E+000   0.1006739E+000  -0.2089529E+000   0.1150795E+001   0.0000000E+000
   0.9467472E+000   0.0000000E+000   0.7112969E-001  -0.3765510E+000   0.1423198E+001   0.0000000E+000
   0.9414527E+000   0.0000000E+000   0.1592097E+000  -0.4126774E+000   0.1527649E+001   0.0000000E+000
   0.9367773E+000   0.0000000E+000   0.2505541E+000  -0.3530276E+000   0.1555826E+001   0.0000000E+000
   0.9735797E+000   0.0000000E+000   0.5367166E+000  -0.4806081E+000   0.2194582E+001   0.0000000E+000
   0.9882549E+000   0.0000000E+000   0.9799626E+000  -0.3393783E+000   0.3079806E+001   0.0000000E+000
   0.9888218E+000   0.0000000E+000   0.1068845E+001  -0.1771121E+000   0.3214821E+001   0.0000000E+000
