#dudx    dudy    dudz    dvdx    dvdy    dvdz    dwdx    dwdy    dwdz   div(u)  S_norm
   0.4279354E+001  -0.8326692E+001   0.1344136E+000  -0.1224054E+002   0.1169567E+002   0.1341192E+001   0.7974531E+002  -0.2262343E+002  -0.1596203E+002   0.1299379E-001   0.4038246E+004
   0.3811653E+002  -0.5813863E+001   0.1956985E+001  -0.5788552E+001   0.9771716E+001  -0.6177939E+000   0.1064358E+003   0.2185430E+002  -0.4612636E+002   0.1761880E+001   0.9842268E+004
   0.7085623E+002   0.2990576E+001   0.2491066E+001   0.3522716E+001   0.3397270E+000  -0.2405127E+001   0.1163005E+003   0.4084187E+002  -0.6818969E+002   0.3006274E+001   0.1748316E+005
   0.7675435E+002   0.1092156E+002   0.3669557E+001   0.1476579E+002  -0.1123429E+002  -0.6254989E+001   0.1048797E+003   0.3614301E+002  -0.6322073E+002   0.2299338E+001   0.1668057E+005
   0.4508617E+002   0.1330119E+001   0.6640404E+001   0.2118203E+002  -0.1099536E+002  -0.1011557E+002   0.3693078E+002   0.1412102E+002  -0.3308269E+002   0.1008129E+001   0.4458431E+004
  -0.7115048E+001  -0.2188991E+002   0.1599972E+002   0.1207028E+002  -0.2609095E+001  -0.9969297E+001  -0.5254994E+002  -0.2629395E+002   0.9996860E+001   0.2727170E+000   0.1531027E+004
  -0.5352794E+002  -0.4641118E+002   0.2386839E+002  -0.9822184E+001   0.7304460E+001  -0.2614376E+001  -0.1344945E+003  -0.8769211E+002   0.4583575E+002  -0.3877335E+000   0.1679725E+005
  -0.6217334E+002  -0.5019419E+002   0.2435554E+002  -0.2360019E+002   0.4651285E+001   0.2156314E+001  -0.1150176E+003  -0.9026257E+002   0.5576958E+002  -0.1752480E+001   0.1771035E+005
  -0.4637070E+002  -0.3266119E+002   0.2063106E+002  -0.1631859E+002  -0.1007037E+002  -0.2900815E+001  -0.7341872E+002  -0.2731128E+002   0.5399282E+002  -0.2448247E+001   0.8214044E+004
  -0.1934205E+002  -0.3174068E+001   0.1324473E+002   0.1201885E+002  -0.3007851E+002  -0.1541413E+002  -0.1476933E+002   0.7633186E+002   0.4699174E+002  -0.2428811E+001   0.5380851E+004
  -0.7274715E+001   0.1648305E+002   0.1038393E+002   0.3796922E+002  -0.4007226E+002  -0.2661407E+002  -0.2906777E+002   0.1399296E+003   0.4526444E+002  -0.2082540E+001   0.1178340E+005
  -0.9552776E+001  -0.1238649E+002   0.1768699E+002   0.5527314E+002  -0.3873911E+002  -0.1102657E+002  -0.1246139E+003   0.1803018E+003   0.4782728E+002  -0.4646024E+000   0.2484273E+005
  -0.1281825E+002  -0.1060362E+002   0.1831340E+002   0.4039997E+002  -0.4494790E+002  -0.1273546E+002  -0.1282161E+003   0.1811402E+003   0.5493834E+002  -0.2827811E+001   0.2586346E+005
  -0.1571554E+002   0.5179594E+000   0.1158962E+002   0.3827712E+001  -0.5265887E+002  -0.1555735E+002  -0.7615912E+001   0.1659718E+003   0.6505061E+002  -0.3323796E+001   0.1857742E+005
  -0.1825640E+002   0.1206816E+002  -0.1171970E+001  -0.3565939E+002  -0.5849857E+002  -0.1722156E+002   0.1363117E+003   0.1555060E+003   0.7311435E+002  -0.3640609E+001   0.2806761E+005
  -0.2433529E+002   0.1369473E+002  -0.1092369E+002  -0.4176458E+002  -0.6037774E+002  -0.1646195E+002   0.2166935E+003   0.1220483E+003   0.8371354E+002  -0.9994884E+000   0.3838411E+005
  -0.2977897E+002   0.1333122E+002  -0.1223599E+002  -0.4483862E+002  -0.5406744E+002  -0.1139846E+002   0.1831664E+003   0.5881376E+002   0.8366145E+002  -0.1849557E+000   0.2703836E+005
  -0.3142705E+002   0.1159371E+002  -0.1282417E+002  -0.3093716E+002  -0.3787073E+002  -0.4326785E+001   0.1186691E+003  -0.2868890E+002   0.6881292E+002  -0.4848631E+000   0.1349066E+005
  -0.1548152E+002   0.1247457E+002  -0.1223095E+002  -0.2187426E+002  -0.2233782E+002   0.1676059E+000   0.3732742E+002  -0.1188781E+003   0.3698781E+002  -0.8315241E+000   0.9511705E+004
   0.3961041E+001   0.1368212E+002  -0.1331222E+002  -0.7930913E+001  -0.1070404E+002   0.3947573E+000  -0.4892757E+001  -0.1676659E+003   0.5707269E+001  -0.1035733E+001   0.1433454E+005
   0.2456271E+002   0.1351602E+002  -0.1721442E+002   0.5035218E+001  -0.9372042E+001  -0.4044610E+001   0.4473999E+002  -0.1941256E+003  -0.1595826E+002  -0.7675917E+000   0.2113226E+005
   0.3664759E+002   0.1209011E+002  -0.2164673E+002   0.1537547E+002  -0.9178465E+001  -0.7496669E+001   0.1268755E+003  -0.2252979E+003  -0.2775202E+002  -0.2828887E+000   0.3520782E+005
   0.3828003E+002   0.9319577E+001  -0.2205842E+002   0.2879987E+002  -0.5866937E+001  -0.5926197E+001   0.1715265E+003  -0.2529057E+003  -0.3234220E+002   0.7089228E-001   0.4793967E+005
   0.3677810E+002   0.5248446E+001  -0.1851295E+002   0.4823064E+002  -0.3345870E+001  -0.1366226E+001   0.1511720E+003  -0.2391775E+003  -0.3320362E+002   0.2286155E+000   0.4162614E+005
   0.3001663E+002   0.4138130E+001  -0.1321390E+002   0.6764889E+002   0.2046773E+000   0.8277061E+000   0.1657922E+002  -0.1269600E+003  -0.2999355E+002   0.2277500E+000   0.1233766E+005
