#dudx    dudy    dudz    dvdx    dvdy    dvdz    dwdx    dwdy    dwdz   div(u)  S_norm
  -0.1352879E+002  -0.2124349E+002  -0.3644247E+002   0.4741408E+002  -0.3788025E+002  -0.5615476E+000   0.4391100E+002   0.2627327E+002   0.5136966E+002  -0.3937751E-001   0.4957669E+004
   0.1291191E+002  -0.1634797E+002  -0.4714316E+001   0.1377744E+002  -0.8322221E+001   0.2520312E+001  -0.1316460E+003  -0.2911818E+002  -0.4494451E+001   0.9524212E-001   0.9910275E+004
   0.1799511E+002  -0.2343811E+002   0.2021607E+002  -0.2276644E+002   0.1520097E+002  -0.5351354E+001  -0.1923581E+003   0.9626815E+001  -0.3383409E+002  -0.6380067E+000   0.1759251E+005
   0.1858205E+002  -0.4312132E+002   0.2584294E+002  -0.1493984E+002   0.3001823E+002  -0.6254813E+001  -0.1240387E+003   0.5747088E+002  -0.4828548E+002   0.3148016E+000   0.1139614E+005
   0.2927617E+002  -0.5340402E+002   0.2120086E+002  -0.1077126E+001   0.1960948E+002  -0.4522632E+001  -0.5751699E+002   0.8969060E+002  -0.4841511E+002   0.4705415E+000   0.9355894E+004
   0.7420903E+001  -0.6241961E+002   0.1180003E+002  -0.5397521E+001  -0.6462267E-001  -0.5862903E+001   0.2974201E+002   0.1182645E+003  -0.6329070E+001   0.1027210E+001   0.9574291E+004
  -0.7082137E+001  -0.6523518E+002   0.3831730E+001  -0.6314828E+001  -0.1436800E+002  -0.7804582E+001   0.2545965E+002   0.9601931E+002   0.2192178E+002   0.4716453E+000   0.7616700E+004
   0.7499473E+000  -0.5678735E+002  -0.3160665E+001   0.4063329E+001  -0.2532880E+002  -0.4735024E+001   0.1510555E+002   0.1056641E+003   0.2438088E+002  -0.1979798E+000   0.7791120E+004
  -0.5557923E+001  -0.5127074E+002  -0.2153186E+001   0.1686839E+001  -0.1038989E+002   0.1627175E+001  -0.7366273E+001   0.7555006E+002   0.1528142E+002  -0.6663941E+000   0.4624968E+004
  -0.2075790E+002  -0.5461678E+002   0.2274259E+000  -0.6693237E+001   0.1010770E+002   0.1060403E+002  -0.7893839E+002  -0.2366208E+002   0.9114805E+001  -0.1535398E+001   0.5677773E+004
  -0.2190124E+002  -0.4738914E+002  -0.9551504E+001  -0.2136342E+002   0.1085967E+002   0.1428640E+002  -0.1246587E+003  -0.1216719E+003   0.8643112E+001  -0.2398458E+001   0.1780585E+005
  -0.1552566E+002  -0.2742086E+002  -0.1757387E+002   0.1839198E+001   0.1479959E+002   0.8559823E+001  -0.1072967E+003  -0.1179407E+003  -0.5999391E+000  -0.1326008E+001   0.1456548E+005
  -0.4741341E+002  -0.1482861E+002  -0.2468823E+002   0.2929762E+002   0.1450708E+002  -0.3533316E+001   0.5065213E+002   0.3641091E+001   0.3378348E+002   0.8771428E+000   0.4041298E+004
  -0.8068191E+002   0.1429607E+001  -0.4671766E+002   0.3549060E+002   0.5559204E+001  -0.7941043E+000   0.1544156E+003   0.8150863E+002   0.7773362E+002   0.2610922E+001   0.2231911E+005
  -0.7442005E+002   0.2336964E+002  -0.8063282E+002   0.6338062E+002   0.2826330E+002   0.2434100E+002   0.3438830E+002   0.7130877E+002   0.4750000E+002   0.1343243E+001   0.1799933E+005
   0.3244420E+002   0.2421400E+002  -0.6042517E+002   0.4914072E+002   0.7622487E+002   0.2734174E+002  -0.2108080E+003   0.7239427E+002  -0.8140457E+002   0.2726450E+002   0.5768959E+005
   0.1240653E+003   0.7178829E+001  -0.2199403E+002  -0.2076386E+002   0.1165708E+003   0.6663220E+001  -0.2757232E+003   0.9816214E+002  -0.1942250E+003   0.4641115E+002   0.1158905E+006
   0.1146760E+003  -0.9667485E+001  -0.1012251E+002  -0.5650458E+002   0.1310002E+003  -0.1218024E+002  -0.8671837E+002   0.1069764E+003  -0.2069047E+003   0.3877150E+002   0.8399170E+005
   0.3382953E+002  -0.2219579E+002  -0.2298582E+002  -0.1247349E+002   0.1052854E+003   0.9107355E+001   0.9380485E+002   0.8175909E+002  -0.1123815E+003   0.2673344E+002   0.3185783E+005
  -0.8770114E+001  -0.2115252E+002  -0.2145038E+002  -0.1294490E+002   0.5450883E+002   0.2403719E+002   0.1275735E+003   0.4355625E+002  -0.3445207E+002   0.1128664E+002   0.1268942E+005
   0.8520623E+001  -0.4146688E+002  -0.2476284E+002  -0.3119336E+002   0.2627375E+002   0.2978511E+002   0.1344164E+003  -0.7824885E+002  -0.3634385E+002  -0.1549482E+001   0.1190906E+005
   0.4135640E+002  -0.7152406E+002  -0.2447839E+002  -0.6210647E+002   0.3552250E+002   0.4318792E+002   0.1698210E+003  -0.2104308E+003  -0.7802514E+002  -0.1146233E+001   0.4253557E+005
   0.3617712E+002  -0.4947242E+002   0.5828798E+001  -0.3560198E+002   0.3489622E+002   0.4239583E+002   0.1274541E+003  -0.2751148E+003  -0.6824922E+002   0.2824117E+001   0.4676188E+005
   0.1057047E+002   0.2220560E+002   0.4489896E+002   0.1798168E+002   0.9504053E+001   0.3043967E+002   0.7448469E+002  -0.2524252E+003  -0.1693002E+002   0.3144504E+001   0.3305792E+005
  -0.2772985E+002   0.7541709E+002   0.6828226E+002   0.3271682E+002  -0.9814875E+001   0.2495920E+002   0.3067534E+001  -0.2526329E+003   0.3886624E+002   0.1321515E+001   0.3668481E+005
  -0.4452707E+002   0.6282894E+002   0.6023109E+002   0.1053145E+002  -0.1146011E+002   0.1089600E+002  -0.8151878E+002  -0.2585825E+003   0.5590669E+002  -0.8048560E-001   0.3883130E+005
  -0.7584203E+001   0.6145426E+001   0.3527377E+002  -0.7522363E+001  -0.4866268E+001  -0.1783017E+002  -0.8951895E+002  -0.2643678E+003   0.1782388E+002   0.5373408E+001   0.4167933E+005
   0.2868397E+002  -0.5320535E+002   0.1004788E+002  -0.6664267E+000   0.1124140E+002  -0.3165735E+002  -0.4613768E+002  -0.2875771E+003  -0.3375589E+002   0.6169483E+001   0.5513354E+005
   0.3054436E+002  -0.8756304E+002  -0.1575052E+002   0.2117390E+002   0.3619053E+002  -0.2952156E+002   0.5215391E+002  -0.2584232E+003  -0.6566904E+002   0.1065845E+001   0.5087721E+005
   0.1368794E+002  -0.9631432E+002  -0.3645819E+002   0.4279050E+000   0.6225489E+002  -0.1906789E+002   0.1237455E+003  -0.1926935E+003  -0.7798193E+002  -0.2039096E+001   0.4097090E+005
  -0.7743775E+001  -0.8783491E+002  -0.3633595E+002  -0.3589331E+002   0.7944151E+002  -0.8936840E+001   0.9838240E+002  -0.1629734E+003  -0.7153305E+002   0.1646843E+000   0.3584368E+005
  -0.3984034E+002  -0.7676923E+002  -0.1619404E+002  -0.5261039E+002   0.7989346E+002   0.4218531E+001   0.1041619E+002  -0.1944708E+003  -0.4078020E+002  -0.7270864E+000   0.3611726E+005
  -0.3792218E+002  -0.6403573E+002  -0.7639726E+001  -0.3284765E+002   0.6560408E+002   0.1843133E+002  -0.5961690E+001  -0.1890291E+003  -0.2933328E+002  -0.1651376E+001   0.2593901E+005
  -0.1847032E+002  -0.6087479E+002  -0.3654712E+001   0.1541978E+002   0.5127447E+002   0.2797915E+002  -0.5001118E+002  -0.1545899E+003  -0.3360421E+002  -0.8000558E+000   0.1458749E+005
  -0.6103014E+001  -0.5224267E+002   0.1913613E+001   0.2628164E+002   0.1828645E+002   0.1636934E+002  -0.5822383E+002  -0.7408135E+002  -0.1209307E+002   0.9037141E-001   0.4105627E+004
   0.6995932E+001  -0.3487613E+002  -0.4218358E+001  -0.4420756E+002  -0.4747990E+002  -0.1408539E+002   0.1077873E+003   0.7744954E+002   0.3903631E+002  -0.1447659E+001   0.1432430E+005
  -0.9005351E+001  -0.1799573E+002  -0.1215272E+002  -0.3443350E+002  -0.8481547E+002  -0.4891904E+002   0.1229482E+003   0.2039687E+003   0.9042127E+002  -0.3399550E+001   0.3497935E+005
  -0.2252982E+002  -0.9390083E+001  -0.1281002E+002   0.2504649E+002  -0.8986497E+002  -0.6167216E+002   0.2210959E+002   0.2712663E+003   0.1101434E+003  -0.2251422E+001   0.4284382E+005
  -0.2775964E+002  -0.1700244E+002  -0.2284019E+002   0.5977019E+002  -0.8514657E+002  -0.5205918E+002   0.9989989E+001   0.2542783E+003   0.1114119E+003  -0.1494281E+001   0.4187581E+005
  -0.2876914E+002  -0.2160885E+002  -0.4072488E+002   0.6177473E+002  -0.6894584E+002  -0.2461015E+002   0.1040813E+003   0.1602371E+003   0.9659148E+002  -0.1123506E+001   0.2692169E+005
  -0.7607226E+001  -0.2391315E+002  -0.1952692E+002   0.5646451E+002  -0.3119781E+002  -0.4813641E+001  -0.5888487E+002  -0.3749144E+002   0.3754268E+002  -0.1262358E+001   0.6938955E+004
   0.1379383E+002  -0.1710573E+002  -0.4711262E+001   0.1781934E+002  -0.4475710E+002  -0.9549752E+001  -0.9102398E+002  -0.5511970E+002   0.2984669E+002  -0.1116592E+001   0.9757819E+004
   0.1237268E+002  -0.2387444E+002   0.6317865E+001  -0.4342604E+001  -0.5077190E+002  -0.1913345E+002  -0.1576653E+003   0.1294773E+002   0.3682248E+002  -0.1576737E+001   0.1595619E+005
   0.1087068E+002  -0.2341965E+002   0.9403789E+001   0.6132703E+000  -0.2818570E+002  -0.1954421E+002  -0.1340013E+003   0.2080284E+001   0.1658622E+002  -0.7288025E+000   0.9362361E+004
   0.2489674E+001  -0.3779156E+002   0.4272443E+001  -0.2788261E+001  -0.9674294E+001  -0.1282653E+002  -0.1898259E+002  -0.2208272E+002   0.6587756E+001  -0.5968638E+000   0.1683953E+004
  -0.1391558E+002  -0.6505294E+002   0.9408273E-001  -0.1818102E+002  -0.1471563E+002  -0.4090237E+001   0.4524553E+002  -0.1489543E+001   0.2861543E+002  -0.1577509E-001   0.5736389E+004
   0.3828232E+001  -0.6992600E+002   0.3908973E+001  -0.1999882E+002  -0.2042296E+002   0.2237834E+001   0.1267982E+002   0.8454693E+001   0.1615477E+002  -0.4399562E+000   0.4930661E+004
   0.7066526E+001  -0.5833577E+002  -0.6317017E-001   0.5929031E+001  -0.2239059E+002   0.2724043E+001  -0.6320124E+001  -0.2058654E+002   0.1449023E+002  -0.8338297E+000   0.2314150E+004
  -0.1049578E+002  -0.5741912E+002   0.5134425E+001   0.1895737E+002  -0.1552151E+002   0.4562595E+000  -0.7128121E+002  -0.9630093E+002   0.2227475E+002  -0.3742541E+001   0.8363027E+004
  -0.3096810E+002  -0.6270756E+002   0.1266744E+002   0.7669192E+001   0.2639322E+001   0.7336197E+001  -0.1464238E+003  -0.1815724E+003   0.2386921E+002  -0.4459569E+001   0.2716821E+005
  -0.1710100E+002  -0.6211551E+002   0.3842238E+001  -0.2052546E+002   0.1465070E+002   0.1749719E+002  -0.1091074E+003  -0.1530433E+003   0.8800296E+000  -0.1570268E+001   0.1864855E+005
   0.8687117E+001  -0.4999329E+002  -0.3761729E+001   0.1011698E+001   0.1970922E+002   0.8638799E+001   0.1580708E+001  -0.6999368E+001  -0.2630489E+002   0.2091440E+001   0.2357729E+004
  -0.1470352E+002  -0.2744124E+002  -0.7160214E+001   0.2669472E+002   0.1546036E+002  -0.9005809E+001   0.1275294E+003   0.9586063E+002   0.2465115E+001   0.3221962E+001   0.1147436E+005
  -0.5568074E+002  -0.1203776E+001  -0.2246110E+002   0.4190796E+002   0.1566450E+002  -0.5986048E+001   0.1625498E+003   0.1133217E+003   0.4030897E+002   0.2927379E+000   0.2137181E+005
  -0.5198690E+002   0.2437903E+002  -0.4841267E+002   0.9256576E+002   0.2845546E+002   0.2640635E+002   0.3140878E+002   0.1101120E+003   0.2370878E+002   0.1773452E+000   0.2037569E+005
   0.3476030E+002   0.4500263E+002  -0.3536451E+002   0.8767295E+002   0.4085852E+002   0.3972940E+002  -0.1600579E+003   0.1554110E+003  -0.6047080E+002   0.1514802E+002   0.5339419E+005
   0.1194236E+003   0.4860994E+002   0.8319588E+000   0.5143252E+001   0.5308236E+002   0.1037346E+002  -0.2073290E+003   0.2291913E+003  -0.1450653E+003   0.2744063E+002   0.8933352E+005
   0.1084871E+003   0.3648686E+002   0.1545798E+002  -0.5412795E+002   0.5571043E+002  -0.3190932E+002  -0.6910345E+002   0.2762142E+003  -0.1450289E+003   0.1916862E+002   0.6722099E+005
   0.2838813E+002   0.2946064E+002   0.7463709E+001  -0.5869391E+002   0.4640276E+002  -0.1705786E+002   0.6095215E+001   0.2032742E+003  -0.6287403E+002   0.1191687E+002   0.2472239E+005
  -0.2941356E+002   0.2064278E+002   0.2162540E+002  -0.5584707E+002   0.2285352E+002   0.1476227E+002   0.2694187E+001   0.9854762E+002   0.1169888E+002   0.5138836E+001   0.8850461E+004
  -0.3119940E+002  -0.2135954E+001   0.2539800E+002  -0.2703379E+002   0.1322316E+002   0.2173022E+002  -0.1518672E+002  -0.2132421E+002   0.1567024E+002  -0.2305999E+001   0.1869692E+004
   0.1672235E+002  -0.3294374E+002  -0.6325979E+000  -0.4065809E+002   0.3234159E+002   0.2488747E+002   0.2075825E+002  -0.1754978E+003  -0.5024545E+002  -0.1181512E+001   0.1810263E+005
   0.6503830E+002  -0.5049583E+002  -0.1080352E+002  -0.4363791E+002   0.4751995E+002   0.3641212E+002   0.7202785E+002  -0.3253800E+003  -0.1097777E+003   0.2780510E+001   0.6659272E+005
   0.5533136E+002  -0.3455972E+002   0.8043546E+001  -0.3845554E+001   0.4803480E+002   0.4743537E+002   0.9949755E+002  -0.3473244E+003  -0.9760516E+002   0.5761011E+001   0.6637136E+005
  -0.4163889E+001  -0.1789457E+002   0.3028477E+002   0.2193770E+002   0.2517267E+002   0.4740680E+002   0.6180976E+002  -0.2644147E+003  -0.1652905E+002   0.4479730E+001   0.2871260E+005
  -0.6177055E+002  -0.1275785E+002   0.2548877E+002   0.1194542E+002   0.1833693E+002   0.3370703E+002  -0.7154887E+002  -0.1766936E+003   0.4792419E+002   0.4490570E+001   0.1772553E+005
  -0.5279413E+002  -0.1783915E+002   0.2343777E+001   0.8305763E+001   0.2436406E+002   0.4886101E+001  -0.9492414E+002  -0.1405973E+003   0.3477051E+002   0.6340443E+001   0.1811618E+005
  -0.1749892E+002  -0.3879323E+002  -0.1430001E+002  -0.2152202E+001   0.1926790E+002  -0.1346984E+002  -0.3376129E+002  -0.1129531E+003   0.3060718E+000   0.2075051E+001   0.1066071E+005
   0.6485277E+001  -0.6378894E+002  -0.2034349E+002   0.2945067E+002   0.1117346E-001  -0.1925401E+002   0.1047647E+003  -0.6475666E+002  -0.8465546E+001  -0.1969096E+001   0.7794353E+004
   0.1238863E+002  -0.8221598E+002  -0.2874246E+002   0.2146568E+002   0.5617712E-001  -0.1276693E+002   0.1369324E+003  -0.8214861E+002  -0.1507824E+002  -0.2633426E+001   0.1258083E+005
  -0.5008356E+001  -0.9864893E+002  -0.2605312E+002  -0.1835674E+002   0.3592414E+002   0.1770328E+000   0.1034549E+003  -0.9744818E+002  -0.3078292E+002   0.1328636E+000   0.1683473E+005
  -0.3590614E+002  -0.1123501E+003  -0.6364473E+001  -0.6062374E+002   0.5015615E+002   0.1425926E+002   0.4459951E+002  -0.9239300E+002  -0.1369971E+002   0.5502980E+000   0.2273584E+005
  -0.2651515E+002  -0.1008986E+003  -0.6307265E+000  -0.4122829E+002   0.3960668E+002   0.2497673E+002   0.1275166E+002  -0.2943583E+002  -0.1390387E+002  -0.8123410E+000   0.1264826E+005
   0.9034410E+001  -0.6902974E+002  -0.6107693E+000  -0.1526905E+002   0.1961121E+002   0.2570823E+002   0.3395972E+002   0.8352169E+001  -0.2848691E+002   0.1587064E+000   0.5966991E+004
   0.9129803E+001  -0.4792113E+002   0.2538132E+001  -0.2679015E+002  -0.1476122E+002   0.1827525E+001   0.3654900E+002   0.7398593E+002   0.6360010E+001   0.7285957E+000   0.6770149E+004
   0.3339840E+002  -0.2194367E+002  -0.5323325E+000  -0.8202367E+002  -0.5162146E+002  -0.2336407E+002   0.2686708E+003   0.2291609E+003   0.1816750E+002  -0.5555792E-001   0.6664019E+005
  -0.5935249E+000  -0.2148916E+002   0.2351914E+001  -0.3345031E+002  -0.4637591E+002  -0.4545890E+002   0.2233993E+003   0.3304522E+003   0.4659704E+002  -0.3723923E+000   0.7192389E+005
  -0.3650208E+002  -0.4354214E+002   0.9125339E+001   0.3790351E+002  -0.3695300E+002  -0.5365549E+002  -0.9618503E+000   0.3358424E+003   0.7317575E+002  -0.2793265E+000   0.4791654E+005
  -0.2998634E+002  -0.5129281E+002  -0.4636281E+001   0.6502910E+002  -0.2880909E+002  -0.3781772E+002  -0.9839486E+002   0.2511212E+003   0.5779505E+002  -0.1000384E+001   0.3322032E+005
  -0.2926474E+002  -0.4142476E+002  -0.2148281E+002   0.7354132E+002  -0.2437168E+002  -0.1608770E+002  -0.5942037E+002   0.1075015E+003   0.5250064E+002  -0.1135788E+001   0.1217293E+005
   0.7149168E+000  -0.1359959E+002  -0.9664713E+001   0.4037831E+002  -0.1094211E+002  -0.1194886E+002  -0.1064239E+003   0.1108559E+003   0.8068351E+001  -0.2158838E+001   0.1217192E+005
   0.1996440E+001  -0.1799711E+002  -0.1111379E+002   0.2248704E+001  -0.2533161E+002  -0.1705328E+002  -0.5159202E+002   0.8084389E+002   0.2177210E+002  -0.1563066E+001   0.5243523E+004
   0.6567857E+001  -0.1693875E+002  -0.1777899E+001  -0.3142444E+001  -0.4595946E+002  -0.2408791E+002  -0.1286209E+003   0.5733322E+002   0.3792432E+002  -0.1467285E+001   0.1284912E+005
   0.1984306E+002  -0.6043097E+001   0.1174472E+002   0.2469067E+002  -0.4389024E+002  -0.1949208E+002  -0.1872651E+003   0.2777077E+002   0.2235133E+002  -0.1695857E+001   0.1843056E+005
  -0.6688254E+001  -0.7810201E+000   0.7021179E+001   0.1262990E+002  -0.1864820E+002  -0.1029479E+002  -0.4755639E+002   0.2668360E+000   0.2398963E+002  -0.1346826E+001   0.1909415E+004
  -0.3482751E+002  -0.1012363E+002  -0.1099694E+001  -0.2594517E+002  -0.8653884E+001  -0.1748029E+000   0.8417488E+002  -0.4248199E+001   0.4384211E+002   0.3607154E+000   0.7320936E+004
   0.6000754E+001  -0.2964746E+002   0.5606569E+001  -0.2024449E+002  -0.1100625E+002   0.1536705E+002   0.8772527E+000   0.2204408E+002   0.5632094E+001   0.6265952E+000   0.2154156E+004
   0.1175500E+002  -0.3511925E+002   0.7078239E+001   0.1482367E+002   0.2880386E+001   0.2030370E+002  -0.1080360E+003  -0.7756915E+002  -0.1217513E+002   0.2460255E+001   0.7234551E+004
  -0.2498892E+001  -0.1770894E+002   0.1634886E+002   0.2642606E+002   0.5165891E+001   0.9402555E+001  -0.1959688E+003  -0.2074427E+003   0.8761816E+000   0.3543181E+001   0.3580912E+005
  -0.1981839E+002   0.2595785E+001   0.2276872E+002   0.2124892E+002   0.1261620E+002   0.4455792E+001  -0.1125778E+003  -0.1947777E+003   0.1199863E+002   0.4796438E+001   0.2311657E+005
  -0.1465893E+002   0.6619651E+001   0.7696166E+001   0.4736840E+001   0.4678174E+002   0.1728962E+002   0.6219061E+002  -0.3483823E+002  -0.2540985E+002   0.6712954E+001   0.5694597E+004
   0.9015014E+001  -0.3625148E+001  -0.4404213E+001   0.4901866E+001   0.6826789E+002   0.2286601E+002   0.1180725E+003   0.9212752E+002  -0.6853301E+002   0.8749887E+001   0.2248584E+005
  -0.1082746E+001  -0.5841410E+001  -0.8492283E+001   0.1483389E+002   0.5819584E+002   0.1128913E+002   0.1410717E+003   0.1011004E+003  -0.5377800E+002   0.3335097E+001   0.2142108E+005
  -0.3580807E+002   0.8452680E+001  -0.1628849E+002   0.4237439E+002   0.4023785E+002   0.2414716E+001   0.1460897E+003   0.7425353E+002  -0.4590254E+001  -0.1604730E+000   0.1557724E+005
