#dudx    dudy    dudz    dvdx    dvdy    dvdz    dwdx    dwdy    dwdz   div(u)  S_norm
  -0.5850532E+001  -0.3066721E+002  -0.2120242E+002   0.2187357E+002  -0.2388461E+002  -0.1216145E+002  -0.2033201E+002   0.1058545E+003   0.2873098E+002  -0.1004153E+001   0.6720249E+004
   0.3460909E+001  -0.3379932E+002  -0.1145796E+002   0.5355379E+001  -0.8513331E+001  -0.2566463E+001  -0.5716819E+002   0.5464949E+002   0.5454095E+001   0.4016732E+000   0.4229772E+004
   0.1264508E+002  -0.3535887E+002   0.3847558E+001   0.8627928E+000   0.3692154E+001   0.1331169E+001  -0.1025173E+003   0.1942627E+002  -0.1616424E+002   0.1730008E+000   0.6113091E+004
   0.1209846E+002  -0.3772721E+002   0.1448414E+002  -0.1036196E+001   0.8404081E+001   0.3142416E+000  -0.1123899E+003   0.1933357E+002  -0.2055981E+002  -0.5726237E-001   0.6376793E+004
   0.9061916E+001  -0.3823855E+002   0.1758621E+002  -0.1538201E+001   0.4012292E+001  -0.3184970E+000  -0.7239824E+002   0.4013033E+002  -0.1323791E+002  -0.1637041E+000   0.3359216E+004
   0.5899296E+001  -0.3634438E+002   0.1386789E+002   0.4891444E+001  -0.2590555E+001  -0.2557487E+000  -0.2186405E+002   0.5873423E+002  -0.3443929E+001  -0.1351883E+000   0.2289847E+004
  -0.2020097E+001  -0.3151202E+002   0.4590727E+001  -0.2271011E+000  -0.1076779E+002  -0.2702233E+001   0.1231570E+002   0.5460993E+002   0.1307166E+002   0.2837707E+000   0.2284672E+004
  -0.7226315E+001  -0.2415969E+002  -0.1183961E+001  -0.3805455E+001  -0.1366928E+002  -0.4298950E+001   0.7054766E+001   0.2800950E+002   0.2147228E+002   0.5766837E+000   0.1389370E+004
  -0.1781321E+002  -0.1262733E+002  -0.7255116E+001  -0.3094051E+001  -0.8472299E+001  -0.1962585E+001  -0.1224484E+002  -0.1724245E+002   0.2615793E+002  -0.1275765E+000   0.1571444E+004
  -0.2078878E+002   0.3570510E+001  -0.1112858E+002  -0.1101540E+002   0.2280932E+001  -0.3284538E+000  -0.3731463E+002  -0.6124247E+002   0.1977271E+002   0.1264859E+001   0.3924378E+004
  -0.1420289E+002   0.1304086E+002  -0.9499805E+001  -0.3181662E+001   0.1152518E+002   0.2828252E+001  -0.5593304E+002  -0.6718807E+002   0.5875195E+001   0.3197488E+001   0.4626085E+004
  -0.2868209E+002   0.1785222E+002  -0.1473512E+002   0.4328016E+001   0.1623063E+002   0.2055440E+001  -0.9038695E+001  -0.4076220E+002   0.1489633E+002   0.2444867E+001   0.2583689E+004
  -0.4132972E+002   0.2203042E+002  -0.2519658E+002   0.1860610E+002   0.1899949E+002   0.2077183E+001   0.3456206E+002  -0.2469706E+001   0.2620542E+002   0.3875189E+001   0.3620441E+004
  -0.2718976E+002   0.2107999E+002  -0.2626616E+002   0.3983564E+002   0.2434465E+002   0.5525621E+001   0.1009060E+002   0.4183181E+002   0.1066152E+002   0.7816411E+001   0.4532792E+004
  -0.5463564E+001   0.1994146E+002  -0.2672837E+002   0.3331890E+002   0.3418200E+002   0.1370524E+001  -0.2028104E+002   0.6629650E+002  -0.1264402E+002   0.1607442E+002   0.6084690E+004
   0.3171679E+002   0.1997195E+002  -0.2686780E+002   0.1304236E+002   0.4503816E+002  -0.4932242E-001  -0.8212144E+002   0.8042024E+002  -0.5624164E+002   0.2051331E+002   0.1577129E+005
   0.7109993E+002   0.1406050E+002  -0.1837677E+002   0.1382502E+001   0.5464266E+002  -0.7719174E+000  -0.1245772E+003   0.9447265E+002  -0.1052567E+003   0.2048591E+002   0.3370717E+005
   0.7930267E+002   0.2606530E+001  -0.1056052E+002  -0.1619796E+002   0.5651444E+002  -0.3752174E+001  -0.1005590E+003   0.1006977E+003  -0.1166605E+003   0.1915661E+002   0.3393550E+005
   0.4847121E+002  -0.9129253E+001  -0.9802984E+001  -0.2166387E+002   0.4739645E+002   0.1806530E+000   0.1051786E+001   0.8545532E+002  -0.8539611E+002   0.1047155E+002   0.1603099E+005
   0.1939825E+002  -0.2059595E+002  -0.7180941E+001  -0.2195400E+002   0.4048125E+002   0.1026757E+002   0.7917346E+002   0.2487088E+002  -0.5392277E+002   0.5956734E+001   0.9024928E+004
   0.6588555E+001  -0.2750342E+002   0.1603511E+001  -0.3235705E+002   0.3667766E+002   0.1985357E+002   0.9902603E+002  -0.5693472E+002  -0.3658787E+002   0.6678350E+001   0.1025476E+005
   0.5520392E+001  -0.2771308E+002   0.1118529E+002  -0.2477614E+002   0.3373588E+002   0.2466537E+002   0.1023575E+003  -0.1339566E+003  -0.3451466E+002   0.4741606E+001   0.1614817E+005
