#dudx    dudy    dudz    dvdx    dvdy    dvdz    dwdx    dwdy    dwdz   div(u)  S_norm
  -0.8432239E+002  -0.1275467E+003  -0.5888315E+002   0.8208738E+002   0.2350427E+002   0.6096724E+001   0.1680578E+003   0.2587262E+003   0.6199032E+002   0.1172203E+001   0.5356346E+005
   0.5779333E+002   0.1055973E+002   0.1308327E+002   0.2146842E+002   0.1998450E+002   0.1453338E+001  -0.3953305E+003  -0.1416186E+003  -0.7729488E+002   0.4829479E+000   0.9310641E+005
   0.2774315E+002   0.2829425E+002   0.3660319E+002  -0.1028080E+002   0.8193400E+001  -0.9424892E+001  -0.2010561E+003  -0.9393997E+002  -0.3637539E+002  -0.4388477E+000   0.2118668E+005
   0.2588292E+002  -0.8003159E+001   0.1288731E+002  -0.5512265E+002   0.1573561E+002  -0.1809627E+002  -0.1029161E+003  -0.1527465E+003  -0.4106166E+002   0.5568651E+000   0.2324215E+005
   0.4607366E+002  -0.2625775E+002   0.1541638E+002   0.1104956E+002   0.1868515E+002  -0.2340168E+001  -0.6867017E+001   0.1633418E+002  -0.6254250E+002   0.2216303E+001   0.6631950E+004
  -0.5057972E+001  -0.1138340E+003   0.1185673E+002  -0.2679193E+002   0.2065127E+002   0.5727313E+001   0.6030701E+002   0.1194532E+003  -0.1465952E+002   0.9337865E+000   0.2099338E+005
  -0.3650038E+002  -0.1352211E+003   0.1108314E+002  -0.7462390E+001   0.1109916E+002  -0.8761545E+001   0.5102567E+002   0.3380573E+001   0.2414636E+002  -0.1254860E+001   0.1416052E+005
  -0.8550415E+000  -0.1183697E+003  -0.3622979E+001   0.3628450E+001  -0.3693525E+002  -0.4610159E+001  -0.7192207E+002  -0.8379131E+002   0.3699890E+002  -0.7913934E+000   0.1607737E+005
   0.1480982E+002  -0.1293020E+003   0.2718379E+000   0.2639814E+001  -0.1820922E+002   0.2637189E+001   0.7573438E+002   0.3147708E+003   0.3708732E+001   0.3093249E+000   0.6184867E+005
  -0.3994971E+002  -0.1604639E+003   0.6674300E+001  -0.4258011E+001   0.5485106E+002   0.1610948E+002   0.1210034E+002   0.2563138E+003  -0.1497388E+002  -0.7253003E-001   0.5567895E+005
   0.7948519E+000  -0.1855628E+003  -0.1266579E+001  -0.2558849E+002   0.1778960E+002   0.2334352E+002  -0.2614280E+003  -0.7390186E+002  -0.2206077E+002  -0.3476314E+001   0.5887449E+005
  -0.1153959E+002  -0.1648651E+003  -0.2008089E+002   0.4017667E+001   0.2156683E+002   0.1019671E+002  -0.2080600E+003  -0.2352695E+003  -0.1483834E+002  -0.4811104E+001   0.6509973E+005
  -0.3511184E+002  -0.6432784E+002  -0.1578506E+002   0.4097873E+002   0.2329465E+002   0.3334478E+001   0.1917557E+002   0.6401621E+001   0.1460104E+002   0.2783857E+001   0.2311823E+004
  -0.1067327E+003  -0.1680868E+002  -0.4872317E+002   0.8972685E+001  -0.6616427E+001  -0.1341418E+002   0.2718748E+003   0.1352942E+003   0.1142351E+003   0.8859637E+000   0.5684143E+005
  -0.6872906E+002   0.2693764E+002  -0.8873977E+002   0.4800559E+002   0.7204866E+001   0.2666544E+002   0.2936616E+002   0.5752038E+002   0.5901622E+002  -0.2507981E+001   0.1637090E+005
  -0.5828424E+002   0.7197654E+000  -0.1421818E+003   0.1459120E+003   0.1089618E+003   0.9393333E+002  -0.2284922E+003   0.3652963E+002  -0.4974922E+002   0.9283439E+000   0.1057048E+006
   0.2133271E+003  -0.6649404E+001   0.3716383E+002  -0.1089109E+003   0.1728863E+003  -0.2489270E+002  -0.4651695E+003   0.1147343E+003  -0.3655579E+003   0.2065552E+002   0.3111958E+006
   0.1401098E+003   0.1718177E+002   0.8081422E+002  -0.5804631E+002   0.1604465E+003  -0.1770910E+002  -0.1769752E+003  -0.4883563E+002  -0.2769499E+003   0.2360635E+002   0.1295619E+006
   0.7161910E+002  -0.5429927E+002  -0.7295404E+002  -0.3575798E+002   0.1475254E+003   0.2791445E+002   0.3510890E+003   0.1439258E+003  -0.1764708E+003   0.4267369E+002   0.1149272E+006
  -0.7168806E+002  -0.8870750E+002  -0.5736135E+002   0.2737532E+002   0.6172549E+002   0.1367396E+002   0.8874496E+002   0.3608226E+002   0.1655837E+002   0.6595808E+001   0.1282002E+005
   0.1609978E+002  -0.1249636E+003  -0.1139377E+003  -0.2532811E+002   0.6512803E+002   0.4418232E+002   0.1237845E+003  -0.1233137E+003  -0.8606919E+002  -0.4841374E+001   0.2637412E+005
   0.9201342E+002  -0.2010216E+003  -0.1005522E+003  -0.8369518E+002   0.8619222E+002   0.8261366E+002   0.2504523E+003  -0.4248405E+003  -0.1779757E+003   0.2299602E+000   0.1578973E+006
   0.2008755E+002  -0.5157390E+002   0.5355013E+001  -0.7152225E+002   0.6829552E+002   0.7608085E+002   0.1530643E+003  -0.3037111E+003  -0.8733956E+002   0.1043510E+001   0.5872805E+005
