# ~alp d~p/dy   Phi_p_sgs,y
   0.1524248E-001   0.1136376E+001
  -0.8529812E+000   0.9087991E+000
  -0.6409157E+000   0.5696713E-001
  -0.6187531E+000   0.3499509E-001
  -0.6999641E+000  -0.4937900E-001
  -0.1564142E+001  -0.1279365E+000
  -0.9031327E+001  -0.7843494E+001
  -0.2825319E+002  -0.1615696E+002
  -0.3043590E+002  -0.1588031E+002
  -0.6913221E+001  -0.9874259E+001
   0.2429477E+001  -0.2294712E+001
   0.3370612E+001   0.1994944E+001
   0.2259569E+001   0.9321164E+000
  -0.2271519E+001  -0.1579107E+002
   0.7920217E+000  -0.2769424E+002
   0.4389791E+001  -0.2177638E+002
   0.6715909E+001  -0.1860623E+002
   0.7348308E+001  -0.1488760E+002
   0.1322076E+002  -0.4739651E+001
   0.2755218E+002   0.9372846E+001
   0.3274979E+002   0.1426902E+002
   0.2257696E+002   0.1073900E+002
   0.1034488E+002   0.7456257E+001
  -0.5462381E+001  -0.7846132E+000
  -0.2412566E+002  -0.8842492E+001
  -0.2573468E+002  -0.3164128E+001
  -0.6923777E+001   0.2260858E+002
   0.1761201E+002   0.3016676E+002
   0.1457026E+002   0.2136126E+002
  -0.8142309E+001   0.9141395E+001
  -0.2113166E+002   0.1065873E+001
  -0.1986793E+002  -0.5266607E+000
  -0.1372459E+002  -0.2539315E+001
  -0.4373267E+001   0.7060930E+001
   0.2793429E+002   0.3321294E+002
   0.5960448E+002   0.5913921E+002
  -0.9116711E+001   0.7429349E+002
  -0.4655382E+002   0.5041617E+002
  -0.1035136E+002   0.5258193E+001
   0.1886151E+000   0.1194236E+001
  -0.1845523E+001   0.3160423E+000
  -0.2454987E+001   0.1961222E+000
  -0.2123331E+001   0.1091489E+000
  -0.1966274E+001   0.6774640E+000
  -0.1762690E+001   0.5689737E+000
  -0.1987434E+001   0.4054386E-002
  -0.5625913E+001  -0.1822731E+001
  -0.8777829E+001  -0.8649989E+001
   0.2364454E+000  -0.6761293E+001
   0.9313214E+001   0.2428598E+000
   0.1035677E+002   0.1904754E+001
   0.1432419E+002   0.5663137E+001
   0.1922999E+002  -0.2798823E+001
   0.1295028E+002  -0.9411380E+001
   0.3722756E+001  -0.2855649E+001
   0.4777859E+001  -0.3584548E+000
   0.7903089E+001  -0.1095287E+001
   0.8432983E+001  -0.1949185E+001
   0.8971611E+001  -0.4180254E+001
   0.8067460E+001  -0.2439688E+001
   0.7038068E+001   0.2366445E+001
   0.8929002E+001   0.4294949E+001
   0.1002958E+002   0.4193128E+001
   0.9614975E+001  -0.2973880E+001
   0.1609757E+002  -0.5394432E+001
   0.2480750E+002  -0.1255467E+001
   0.2818984E+002   0.9364768E+001
   0.3023582E+002   0.1326722E+002
   0.3728204E+002   0.2098676E+002
   0.2377947E+002   0.2644417E+002
  -0.1420275E+002   0.2996855E+002
  -0.2559028E+002   0.9831793E+001
  -0.2099971E+002  -0.2224701E+001
  -0.2124072E+002   0.6983699E+001
  -0.9036804E+001   0.4790663E+002
   0.5363861E+002   0.8840681E+002
   0.1031786E+003   0.5801995E+002
   0.4120685E+002   0.2981815E+002
  -0.7782062E+000  -0.1798871E+001
  -0.1023930E+001   0.2843685E-001
  -0.5807914E+001  -0.1319722E+001
  -0.5805322E+001  -0.7907913E+000
  -0.7484960E+001  -0.8850976E+000
  -0.9216650E+001   0.1347581E+001
  -0.5214037E+001   0.4039169E+001
  -0.2574447E+001   0.4992249E+001
  -0.4091154E+000   0.6433843E+001
   0.1711992E+002   0.2897663E+002
   0.5176296E+002   0.3381681E+002
   0.3665555E+002   0.2467186E+002
   0.1904200E+002   0.2911857E+001
   0.1868768E+002   0.2451817E+001
   0.1594405E+002   0.1416006E+001
   0.4514783E+001  -0.6336586E-002
   0.2176370E+001  -0.2680304E+000
   0.3346133E+001  -0.1223067E+001
   0.4115777E+001  -0.1623647E+001
   0.1944626E+001  -0.8555770E+000
  -0.6619444E+001  -0.2313276E+001
  -0.1995611E+002  -0.3886979E+001
  -0.2358281E+002  -0.2556653E+001
  -0.1555200E+002  -0.5490307E+000
  -0.2202377E+000   0.1948617E+001
   0.1918649E+002   0.3397173E+001
   0.3033457E+002   0.4274367E+001
   0.2136633E+002   0.8541035E+001
   0.9689375E+001   0.5160749E+001
   0.7220214E+001  -0.2093434E+001
   0.1793705E+002   0.1565183E+002
   0.4285724E+002   0.2824623E+002
   0.3195530E+002   0.2959929E+002
  -0.6659660E+000   0.1836621E+002
  -0.8425249E+001   0.2213347E+001
  -0.8532152E+001  -0.3523482E+001
  -0.8746529E+001  -0.6898052E+001
  -0.1671152E+001   0.3172763E+001
   0.3504119E+002   0.6973296E+002
   0.4309475E+002   0.6518310E+002
   0.4989741E+001   0.1086198E+002
  -0.4307075E+001  -0.1996280E+001
  -0.1819908E+002  -0.3840052E+001
  -0.1857444E+002  -0.3660155E+001
  -0.2470142E+002  -0.4428396E+001
  -0.3175395E+002   0.7494475E+001
   0.5984198E+001   0.1645373E+002
   0.2803175E+002   0.4031503E+002
   0.2934789E+002   0.4270365E+002
   0.4954387E+002   0.4186074E+002
   0.5991232E+002   0.4052300E+002
   0.2570358E+002   0.2993214E+002
   0.6952326E+001   0.3725509E+001
  -0.7086140E+000  -0.4306408E+001
  -0.2807624E+001  -0.5995186E+001
   0.5575149E+000  -0.3790804E+001
   0.2443195E+000  -0.3025745E+000
  -0.1360989E-001   0.1809980E-001
   0.1732550E+000   0.3355494E+000
  -0.3054552E+001   0.9256930E+000
  -0.1119498E+002  -0.1329637E+001
  -0.1915580E+002  -0.2812115E+001
  -0.1801882E+002  -0.4692555E+001
  -0.1089255E+002  -0.3371117E+001
   0.3173525E+001  -0.5144655E+000
   0.1736516E+002   0.3494676E+001
   0.2115859E+002   0.1584725E+000
   0.9485254E+001   0.1309853E+001
   0.2097422E+001   0.1372234E-001
   0.1171277E+001  -0.8799008E+000
   0.1221473E+001   0.7224512E+000
   0.8273777E+001   0.1831759E+002
