 # filt(alp*rho*Vry/tfpF)    filt(alp*rho*Vry)/filt(tfpF)
  -0.2435945E+002  -0.1596859E+002
  -0.1983823E+003  -0.1921775E+003
  -0.2720529E+003  -0.2672771E+003
  -0.3393176E+003  -0.3336667E+003
  -0.3770915E+003  -0.3682235E+003
  -0.4209782E+003  -0.4162559E+003
  -0.5096005E+003  -0.5000076E+003
  -0.5955102E+003  -0.5902066E+003
  -0.6565946E+003  -0.6540508E+003
  -0.5782050E+003  -0.5771481E+003
  -0.3444595E+003  -0.3411856E+003
  -0.1736295E+003  -0.1736411E+003
  -0.4702572E+002  -0.4761862E+002
   0.1675459E+002   0.1579620E+002
   0.2431625E+001   0.8918558E+000
  -0.2984255E+002  -0.3080394E+002
  -0.4974355E+002  -0.4958589E+002
  -0.6651413E+002  -0.6572850E+002
  -0.7364291E+002  -0.7226763E+002
  -0.2526822E+002  -0.2440574E+002
   0.6232397E+002   0.6152427E+002
   0.1528146E+003   0.1342729E+003
   0.2868907E+003   0.2419748E+003
   0.4060035E+003   0.3461199E+003
   0.4647772E+003   0.4249298E+003
   0.4450616E+003   0.4407218E+003
   0.3524900E+003   0.3637869E+003
   0.2182217E+003   0.2183168E+003
   0.4130399E+002   0.4858247E+002
   0.1119178E+002   0.1659264E+002
  -0.3063624E+002  -0.2988754E+002
  -0.6526765E+002  -0.6878120E+002
  -0.2589634E+002  -0.2493256E+002
  -0.1374419E+002  -0.1254257E+002
  -0.3149128E+002  -0.3060453E+002
  -0.5341986E+002  -0.5368685E+002
  -0.5080241E+002  -0.5049275E+002
  -0.2565078E+000  -0.3107558E+000
   0.4264785E+002   0.4520658E+002
   0.7249223E+002   0.7723318E+002
   0.3846089E+002   0.4153909E+002
  -0.4854955E+002  -0.4818885E+002
  -0.1005531E+003  -0.1008609E+003
  -0.1151157E+003  -0.1141165E+003
  -0.2272105E+003  -0.2160196E+003
  -0.2707189E+003  -0.2602838E+003
  -0.2232233E+003  -0.2233219E+003
  -0.2446907E+003  -0.2451333E+003
  -0.3302140E+003  -0.3327341E+003
  -0.2691149E+003  -0.2720155E+003
  -0.1297183E+003  -0.1296181E+003
  -0.4098836E+002  -0.4140179E+002
   0.4120079E+002   0.4016391E+002
  -0.9393227E-001  -0.1902917E+001
  -0.4186356E+002  -0.4321292E+002
  -0.5121727E+002  -0.5165819E+002
  -0.5250671E+002  -0.5315929E+002
  -0.6154446E+002  -0.6162868E+002
  -0.8619230E+002  -0.8514718E+002
  -0.4283452E+002  -0.4244272E+002
   0.5501552E+002   0.5480127E+002
   0.1753795E+003   0.1662841E+003
   0.3788663E+003   0.3490037E+003
   0.5543339E+003   0.4951901E+003
   0.5069559E+003   0.4618801E+003
   0.3637891E+003   0.3529346E+003
   0.3251249E+003   0.3265743E+003
   0.2987418E+003   0.3039803E+003
   0.1873845E+003   0.1998649E+003
   0.1140278E+003   0.1360358E+003
   0.1073386E+003   0.1362419E+003
   0.2101696E+003   0.2278705E+003
   0.2143507E+003   0.2123589E+003
   0.1563643E+003   0.1558512E+003
   0.9186163E+002   0.9865377E+002
   0.2336023E+002   0.2676898E+002
  -0.6215440E+001  -0.6191935E+001
   0.2285431E+002   0.2382790E+002
   0.5111751E+002   0.5158318E+002
   0.4542034E+002   0.4566790E+002
   0.7032542E+002   0.7074465E+002
   0.6893474E+002   0.6966942E+002
   0.3604501E+002   0.3573126E+002
  -0.1925511E+002  -0.1897049E+002
  -0.1521052E+003  -0.1347132E+003
  -0.5082284E+003  -0.4062634E+003
  -0.5553340E+003  -0.4791027E+003
  -0.2890495E+003  -0.2840206E+003
  -0.6865462E+002  -0.6942688E+002
   0.8859746E+002   0.8615548E+002
   0.2110470E+002   0.1752803E+002
  -0.2787386E+002  -0.2855510E+002
  -0.5031919E+002  -0.5156561E+002
  -0.1133471E+003  -0.1129607E+003
  -0.1365976E+003  -0.1357437E+003
  -0.1176601E+003  -0.1175018E+003
  -0.1092097E+003  -0.1089199E+003
  -0.1311950E+003  -0.1290267E+003
  -0.1328003E+003  -0.1316114E+003
  -0.4777285E+002  -0.4686512E+002
   0.5948551E+002   0.5950589E+002
   0.1774382E+003   0.1709197E+003
   0.2284102E+003   0.2033119E+003
   0.1765927E+003   0.1600606E+003
   0.1179635E+003   0.1219861E+003
   0.1161853E+003   0.1207268E+003
   0.1779346E+003   0.1789972E+003
   0.2431811E+003   0.2477293E+003
   0.3303973E+003   0.3380391E+003
   0.3599792E+003   0.3579174E+003
   0.3774012E+003   0.3778141E+003
   0.4374178E+003   0.4374907E+003
   0.4384743E+003   0.4336000E+003
   0.3923020E+003   0.3883057E+003
   0.3441263E+003   0.3422024E+003
   0.3131600E+003   0.3265237E+003
   0.2734451E+003   0.2863976E+003
   0.1923796E+003   0.1906431E+003
   0.1241117E+003   0.1252960E+003
   0.9140069E+002   0.9339198E+002
   0.1296378E+003   0.1337110E+003
   0.9448640E+002   0.9590871E+002
   0.3240767E+002   0.3267649E+002
  -0.6916629E+002  -0.6664499E+002
  -0.4518622E+003  -0.3455853E+003
  -0.9768097E+003  -0.7995082E+003
  -0.8485941E+003  -0.7407850E+003
  -0.3151978E+003  -0.2921387E+003
   0.6929827E+002   0.6396575E+002
   0.1069371E+003   0.1007555E+003
  -0.1673229E+002  -0.1747139E+002
  -0.9422158E+002  -0.9455701E+002
  -0.1924652E+003  -0.1902121E+003
  -0.2328795E+003  -0.2321594E+003
  -0.2043736E+003  -0.2053681E+003
  -0.1563973E+003  -0.1581365E+003
  -0.1415564E+003  -0.1422637E+003
  -0.1361302E+003  -0.1357903E+003
  -0.7712451E+002  -0.7740261E+002
  -0.2551796E+002  -0.2523683E+002
