# ~alp d~p/dx   Phi_p_sgs,x
   0.1423722E+001   0.8308309E+001
   0.8632058E+001   0.1267373E+002
   0.1086282E+002   0.7575197E+001
   0.4183837E+001   0.7388590E+001
  -0.6469559E+001   0.2073525E+001
  -0.8498120E+001  -0.5739310E+000
  -0.8601834E+001  -0.3199347E+000
  -0.8470978E+001  -0.2620508E+000
  -0.7210817E+001   0.6409583E-002
  -0.7565668E+001  -0.3149873E+001
  -0.9916177E+001  -0.6262751E+001
  -0.1100949E+002  -0.7397292E+001
  -0.7871414E+001  -0.5696514E+001
  -0.1219968E+002  -0.1100937E+002
  -0.2704086E+002  -0.2939596E+002
  -0.5049074E+002  -0.2621658E+002
  -0.5105369E+002   0.2518342E+002
  -0.5727655E+001   0.2524735E+002
   0.1237463E+002   0.2152925E+002
   0.6954129E+001   0.1549375E+002
   0.1643746E+002   0.1533565E+002
   0.3761467E+002   0.2424577E+002
   0.4746012E+002   0.1961819E+002
   0.3212895E+002   0.1316235E+002
   0.8827551E+001   0.1943322E+001
   0.1256555E+002   0.2430839E+002
   0.1595519E+002   0.2918339E+002
   0.1993795E+002   0.2562581E+002
   0.1855005E+002   0.1625100E+002
   0.7896469E+001  -0.5595571E+001
   0.1752244E+001  -0.4518099E+001
  -0.1352555E+002  -0.4898644E+001
  -0.1508405E+002  -0.2010495E+001
  -0.1595826E+001  -0.2980807E+001
   0.7749856E+001   0.4513640E+001
   0.4912354E+001   0.1078196E+002
  -0.2033940E+000   0.4786940E+001
  -0.1428340E+001   0.3311649E-001
  -0.2057330E+001   0.1227471E+001
  -0.2803724E+001   0.3164202E+001
  -0.1056523E+001   0.8305619E+001
   0.7670496E+001   0.1303008E+002
   0.9023587E+001   0.8150623E+001
   0.5524214E+001   0.7161721E+001
  -0.2050380E+001   0.3456301E+001
  -0.6448904E+001   0.1089589E+001
  -0.6902394E+001   0.5761806E+000
  -0.5867818E+001  -0.4352788E+000
  -0.5517168E+001  -0.4027337E+000
  -0.6466089E+001  -0.1893629E+001
  -0.7629578E+001  -0.3800629E+001
  -0.9247100E+001  -0.3779331E+001
  -0.9447000E+001  -0.1990981E+001
  -0.1399277E+002  -0.3191249E+001
  -0.2149873E+002  -0.1833985E+001
  -0.2747521E+002   0.3677363E+001
  -0.2316242E+002   0.1227160E+002
  -0.6248553E+001   0.5027165E+001
  -0.4125265E+001   0.6367244E+000
  -0.2485418E+001   0.6378312E+001
   0.4445162E+001   0.6966455E+001
   0.1826487E+002   0.1150605E+002
   0.3054293E+002   0.7494910E+001
   0.2718591E+002   0.6558764E+001
   0.1277372E+002   0.3824035E+001
   0.1534612E+002   0.2220614E+002
   0.1740438E+002   0.2691874E+002
   0.1801464E+002   0.2641896E+002
   0.1621527E+002   0.1997102E+002
   0.1035649E+002   0.2081550E+001
   0.8197404E+001   0.2158849E+001
  -0.4715792E+001   0.3417696E+001
  -0.6669842E+001   0.1185108E+002
   0.1936238E+001   0.7723437E+001
   0.1065839E+002   0.1131977E+002
   0.4444805E+001   0.1029023E+002
  -0.5972533E+000   0.3013144E+001
  -0.2149599E+001  -0.1580196E+001
  -0.2733874E+001  -0.1760917E+001
  -0.3732838E+001  -0.1610115E+000
  -0.2313848E+001   0.5333320E+001
   0.4303693E+001   0.1043146E+002
   0.3260021E+001   0.8464573E+000
   0.2268316E+001  -0.2546764E+001
  -0.1872168E+001  -0.2181286E+001
  -0.6372975E+001  -0.1356723E+001
  -0.5428676E+001   0.3623658E+000
  -0.5591441E+001  -0.1322921E+000
  -0.5834958E+001  -0.4525181E+000
  -0.9197436E+001  -0.1887850E+001
  -0.1022298E+002  -0.2274848E+001
  -0.1080903E+002  -0.2306488E+001
  -0.9612857E+001  -0.1222074E+001
  -0.1276165E+002  -0.5719769E+000
  -0.1578394E+002   0.3232384E+001
  -0.1388346E+002   0.5928830E+001
  -0.6050221E+001   0.1038155E+001
  -0.3768423E+000  -0.1613312E+001
  -0.2451259E+001  -0.3653541E+001
  -0.2141058E+001  -0.1670576E+001
   0.1536292E+001   0.5742308E+001
   0.1018886E+002   0.7178721E+001
   0.2194964E+002   0.4240914E+001
   0.2397101E+002   0.3133876E+001
   0.1514256E+002   0.3787046E+001
   0.1191121E+002   0.9094846E+001
   0.1171025E+002   0.1331019E+002
   0.1127735E+002   0.1496306E+002
   0.1040474E+002   0.1428154E+002
   0.7731324E+001   0.7265796E+001
   0.5910860E+001   0.6081375E+001
   0.1004848E+001   0.5781271E+001
   0.8286098E+001   0.1705139E+002
   0.1762283E+002   0.1828038E+002
   0.1905438E+002   0.2313397E+002
   0.6059800E+001   0.1749566E+002
  -0.9400537E+000   0.5784977E+000
  -0.3357676E+001  -0.3471322E+001
  -0.3749627E+001  -0.3985340E+001
  -0.4098302E+001  -0.3469676E+001
  -0.1578970E+001  -0.7867151E+000
   0.9621798E+000   0.2148278E+001
   0.2960110E+000  -0.2289023E+001
  -0.2519819E+001  -0.4021939E+001
  -0.4816569E+001  -0.4771338E+001
  -0.5326169E+001  -0.2522755E+001
  -0.3758441E+001  -0.7773939E-001
  -0.4713959E+001  -0.2007802E+000
  -0.6604584E+001  -0.1087045E+001
  -0.1512330E+002  -0.5265113E+001
  -0.1919381E+002  -0.5274929E+001
  -0.2085307E+002  -0.5369007E+001
  -0.1403457E+002  -0.3091721E+001
  -0.1236022E+002   0.1223980E+001
  -0.1016417E+002   0.4069948E+001
  -0.4561545E+001   0.2854720E+001
  -0.3903508E+000   0.7868088E+000
   0.5299672E+000   0.1873308E+001
  -0.8324428E+000  -0.3033000E+000
  -0.1121525E+001   0.9870570E+000
   0.1356419E+001   0.6298718E+001
   0.8718816E+001   0.5382640E+001
   0.1761440E+002   0.2870596E+001
   0.2018296E+002   0.1706919E+001
   0.1515957E+002   0.2321282E+001
   0.1075573E+002   0.1473856E+001
   0.7846430E+001   0.8826709E+000
   0.8257770E+001   0.7307298E+001
   0.7087612E+001   0.1057770E+002
   0.5792896E+001   0.1291632E+002
   0.2244537E+001   0.7356922E+001
   0.5558695E+000   0.4396622E+001
   0.1604391E+002   0.1406174E+002
   0.3055525E+002   0.1881570E+002
   0.2668687E+002   0.2561559E+002
   0.8996017E+001   0.2121655E+002
  -0.1099212E+001  -0.6558487E+000
  -0.5679035E+001  -0.4301988E+001
  -0.5830809E+001  -0.4810846E+001
  -0.6101755E+001  -0.3840148E+001
  -0.1842896E+001  -0.1029731E+001
   0.7609758E+000   0.8191444E+000
  -0.5967474E+001  -0.2705444E+001
  -0.9577924E+001  -0.3843050E+001
  -0.8664063E+001  -0.6460408E+001
  -0.3248784E+001  -0.3360945E+001
  -0.1027096E+001  -0.2758617E+000
  -0.2456019E+001   0.8943803E-001
  -0.7819685E+001  -0.3561926E+001
  -0.2403026E+002  -0.1599065E+002
  -0.3800213E+002  -0.2169878E+002
  -0.4286588E+002  -0.2551916E+002
  -0.2465014E+002  -0.2028935E+002
  -0.1218244E+002  -0.6094552E+001
  -0.3523324E+001   0.3489705E+001
   0.1045604E+001   0.3474542E+001
   0.1149233E+001   0.1679139E+001
   0.4033459E+000   0.6789350E+000
  -0.1477427E+001   0.3868059E+001
  -0.1329305E+001   0.1345313E+002
   0.4047595E+001   0.1828419E+002
   0.1583576E+002   0.1097009E+002
   0.1900219E+002   0.1562834E+001
   0.1764716E+002  -0.7443226E+000
   0.1112611E+002  -0.5488607E+000
   0.9186994E+001  -0.6691877E+000
   0.6579230E+001  -0.9817775E+000
   0.7975403E+001   0.7267953E+001
   0.6707964E+001   0.1131966E+002
   0.4575541E+001   0.1333778E+002
   0.8022792E+000   0.6463848E+001
  -0.6958958E-001   0.6372670E+001
   0.1196139E+002   0.1722081E+002
   0.2918820E+002   0.2347630E+002
   0.2657048E+002   0.2414159E+002
   0.1018121E+002   0.2158977E+002
  -0.1216830E+001  -0.1567891E+001
  -0.5560435E+001  -0.4299153E+001
  -0.5901079E+001  -0.4461471E+001
  -0.6080874E+001  -0.3173169E+001
  -0.2254092E+001  -0.1981401E+000
  -0.9603467E+000   0.7762433E+000
  -0.1661441E+002  -0.8715254E+001
  -0.2164484E+002  -0.8108493E+001
  -0.1680262E+002  -0.1160495E+002
  -0.2387541E+001  -0.2275748E+001
   0.3470266E+000   0.1409417E+000
  -0.1455366E+001   0.2647825E-001
  -0.1264123E+002  -0.7012615E+001
  -0.3271710E+002  -0.1956746E+002
  -0.5066055E+002  -0.2650962E+002
  -0.5636342E+002  -0.3746919E+002
  -0.3585012E+002  -0.3859443E+002
  -0.1446266E+002  -0.2390848E+002
   0.2339829E+001  -0.7072182E+001
