#dalpdx  dalpdy   dalpdz
   0.3390075E+001  -0.2493836E+001  -0.1296186E+001
   0.1035947E+002  -0.2116594E+001  -0.2503713E+001
   0.7372969E+001   0.1115559E+002   0.3086693E+001
  -0.2168106E+001   0.3377215E+002   0.5163865E+001
   0.1555518E+001   0.3908608E+002  -0.4609519E+001
   0.2364835E+002   0.3610969E+002   0.6136749E+001
   0.2825700E+002   0.2094699E+002   0.3853424E+001
   0.6257746E+001  -0.1162581E+001   0.2618751E+001
  -0.5852531E+002   0.1256666E+002   0.1184149E+002
   0.6767193E+001   0.4186607E+001  -0.6918759E+001
  -0.4685999E+001   0.6270265E+001   0.1343096E+002
  -0.1168895E+002  -0.2034015E+001   0.1907424E+002
   0.2176145E+002  -0.2773423E+002   0.1029472E+002
  -0.8243591E+001  -0.4693716E+002   0.1605711E+002
  -0.8326860E+001  -0.2858291E+002   0.6371486E+001
   0.9915584E+001  -0.1185925E+002   0.8488659E+001
  -0.2074016E+002  -0.2408583E+002  -0.2282508E+001
  -0.1870533E+002  -0.1402010E+002  -0.5717794E+001
  -0.1271469E+001  -0.1957770E+001   0.3841257E+000
   0.1169172E+001  -0.2343627E+001  -0.6067057E+000
   0.5012427E+001  -0.1837375E+000  -0.2957445E+001
   0.8471078E+001   0.7534073E+001  -0.4642303E+001
   0.1524458E+002  -0.7077690E+000   0.2807391E+001
   0.6890933E+001  -0.4254478E+002   0.3996190E+002
  -0.1155651E+002  -0.3556244E+002   0.3801359E+002
   0.8180283E+001   0.5766314E+000   0.1847535E+001
  -0.2019301E+002  -0.5421028E+001  -0.2329366E+001
   0.2259100E+002  -0.3849349E+002   0.1126781E+002
   0.8025425E+002  -0.8381453E+002   0.4769808E+002
   0.1990003E+002  -0.3526852E+001   0.4739050E+002
  -0.5957079E+002   0.4911886E+002   0.1555947E+001
  -0.3345883E+002   0.3212936E+002   0.4629941E+001
  -0.5004478E+002   0.1709583E+002   0.1003485E+002
  -0.7206488E+001   0.1101296E+001  -0.2237946E+000
  -0.1435379E+001   0.2491453E+001  -0.1090122E+001
  -0.8112730E+000   0.1356938E+001  -0.1324457E+001
   0.1536020E+001   0.3849876E+000  -0.1278247E+001
   0.2275457E+001   0.2896721E+000  -0.1300318E+001
   0.1185201E+000  -0.3892139E+001  -0.1485060E+001
  -0.9547224E+000  -0.6251524E+001  -0.1684836E+001
   0.5679997E+001   0.1013377E+002   0.1970130E+001
   0.3040110E+002   0.4329824E+002   0.1288540E+002
   0.2515680E+002   0.5667232E+002   0.1506263E+002
   0.1863835E+001   0.3851146E+002   0.2529964E+001
  -0.9254621E+001   0.2165684E+002  -0.4177173E+001
   0.4208636E+001   0.1796293E+001   0.3858137E+001
  -0.1948894E+001  -0.1753002E+002  -0.5787005E+001
   0.5044120E+002  -0.3515794E+002  -0.1314688E+002
  -0.1557468E+002   0.3827763E+002   0.3006608E+002
  -0.3148957E+002   0.4621424E+002   0.2077713E+002
  -0.1203466E+002   0.5160346E+001   0.1334065E+002
  -0.3598046E+002  -0.3502369E+001   0.2717123E+002
  -0.1068960E+001  -0.1716041E+002   0.1188911E+002
   0.8474610E+001  -0.1215676E+001   0.6480660E+001
   0.1956426E+002   0.2624256E+002   0.1356625E+002
  -0.9235790E+001   0.1240925E+001   0.8264487E+001
  -0.1885323E+002  -0.1108495E+002  -0.8422761E+001
  -0.5142315E+001  -0.1759267E+001  -0.4662475E+001
  -0.7977996E+000  -0.1258298E+001  -0.2674138E+001
   0.1804484E+001  -0.2496216E+000  -0.2214016E+001
   0.1387717E+002   0.6467607E+001  -0.3721702E+001
   0.1274019E+002   0.1156873E+002  -0.5139439E+001
  -0.9227241E+001  -0.6731312E-001  -0.4601039E-001
  -0.1010993E+002  -0.8773659E+001   0.9726083E+001
   0.1601717E+002  -0.1256486E+001   0.8865852E+001
   0.4461793E+001  -0.5619483E+001   0.1000789E+001
  -0.2566183E+002  -0.1337621E+002  -0.1566991E+001
  -0.5734657E+001  -0.4252862E+001   0.9558036E-001
   0.3170385E+002  -0.1922356E+002   0.1598572E+002
   0.8664116E+002  -0.4623155E+002   0.4407122E+002
  -0.1747765E+002  -0.3299358E+002   0.1062709E+002
  -0.4188311E+002  -0.3247830E+002  -0.5730583E+001
  -0.5563139E+002  -0.1306990E+002   0.9204355E+001
  -0.5227467E+001   0.3367976E+001  -0.5286988E+000
   0.1293380E+001   0.7558392E+001  -0.2688034E+001
   0.2837053E+001   0.1666359E+002  -0.4325374E+001
   0.1814363E+002   0.3713530E+002  -0.6476932E+001
   0.1508324E+002   0.7121844E+002  -0.3671328E+001
  -0.2162649E+002   0.6847745E+002   0.8887242E+001
  -0.1725233E+002   0.2842239E+002   0.7430049E+001
   0.2376192E+002   0.3712733E+002   0.1530662E+002
   0.3360334E+002   0.4309976E+002   0.1735023E+002
  -0.2030406E+002   0.1385501E+002  -0.1024596E+001
  -0.1573275E+002  -0.2284403E+002  -0.7590694E+001
  -0.2393661E+002  -0.3197889E+002  -0.4901642E+000
   0.5618889E+001  -0.2192668E+002  -0.2950155E+001
  -0.2462211E+001  -0.3396538E+001  -0.1375432E+002
   0.4878585E+002  -0.3331118E+002  -0.2816805E+002
