#~alp   var(alpha)   ~u   ~v   ~w   ~qp
   0.8457912E-001   0.7334682E-003  -0.2144560E+000   0.2440684E+000   0.7209716E+000   0.5346264E-001
   0.7047420E-001   0.8732785E-003  -0.1457773E+000   0.3092432E+000   0.7472559E+000   0.4051727E-001
   0.4498281E-001   0.3519727E-003  -0.1301494E+000   0.5390156E+000   0.8380007E+000   0.3240364E-001
   0.4574986E-001   0.3962866E-003  -0.1714574E+000   0.5473529E+000   0.8557484E+000   0.2339583E-001
   0.3541431E-001   0.3319917E-003   0.4856245E-001   0.5075431E+000   0.1231391E+001   0.3154789E-001
   0.2844974E-001   0.2108162E-003   0.4023869E+000   0.4880482E+000   0.1811557E+001   0.3710352E-001
   0.1898994E-001   0.1045602E-003   0.4773475E+000   0.4872961E+000   0.1981063E+001   0.5801314E-001
   0.1070160E-001   0.9694796E-005   0.2303635E+000   0.4715060E+000   0.1926573E+001   0.2059171E+000
   0.3555340E-001   0.1421830E-002   0.2094447E+000   0.4923121E+000   0.7552230E+000   0.8446514E-001
   0.8983283E-001   0.3623506E-002   0.2792926E+000   0.4543122E+000   0.3622835E+000   0.2145725E-001
   0.7784041E-001   0.4808186E-002   0.2183544E+000   0.3737492E+000   0.2142696E+000   0.1331175E-001
   0.6403366E-001   0.3898129E-002   0.1395651E+000   0.2421655E+000   0.3255213E+000   0.2358073E-001
   0.4426779E-001   0.1906546E-002   0.1008160E+000  -0.5018764E-002   0.2480354E+000   0.2838682E-001
   0.2348532E-001   0.2939158E-003   0.2445964E-001  -0.2661382E+000  -0.7677178E-003   0.2141174E-001
   0.5043932E-001   0.2410791E-002  -0.8718074E-001  -0.2425023E+000  -0.1916404E+000   0.1234211E-001
   0.6304893E-001   0.3040201E-002  -0.6242003E-001  -0.1802900E+000  -0.9708849E-001   0.1714424E-001
   0.3611021E-001   0.1174427E-002   0.7369141E-001  -0.1105621E+000   0.3015051E+000   0.4323190E-001
   0.3326781E-001   0.2644578E-003   0.2863179E+000  -0.1546877E+000   0.1016512E+001   0.6100626E-001
   0.3406694E-001   0.7419236E-004   0.3967175E+000  -0.1535924E+000   0.1303370E+001   0.6284261E-001
   0.2191821E-001   0.8134119E-004   0.4794692E+000  -0.1044283E+000   0.1387124E+001   0.8508573E-001
   0.1187919E-001   0.1301161E-004   0.5228933E+000   0.1013995E-001   0.1519388E+001   0.1296467E+000
   0.7974665E-002   0.2028398E-005   0.4919570E+000   0.1339360E+000   0.1561521E+001   0.1489362E+000
   0.4944920E-002   0.2904453E-005   0.4698137E+000   0.1445842E+000   0.1375073E+001   0.1398135E+000
   0.7196757E-002   0.1526321E-003   0.2685631E+000  -0.1445747E+000   0.5429151E+000   0.5660396E-001
   0.2796758E-001   0.5924480E-003   0.2398497E+000  -0.2310951E+000   0.2270598E+000   0.1991089E-001
   0.4371466E-001   0.2544748E-003   0.2829316E+000  -0.2329474E+000   0.1887928E+000   0.1826706E-001
   0.3479220E-001   0.1934280E-003   0.2663818E+000  -0.2276504E+000   0.1466800E+000   0.2284869E-001
   0.3255412E-001   0.1067640E-003   0.1350591E+000  -0.2132484E+000   0.1452512E-001   0.2422254E-001
   0.4490475E-001   0.2642238E-003  -0.6973523E-001  -0.2906193E-002  -0.7820750E-001   0.1240421E-001
   0.4764148E-001   0.4781730E-003  -0.1641423E+000   0.1559214E+000  -0.1058876E+000   0.6653555E-002
   0.5345855E-001   0.8614641E-003  -0.1120203E+000   0.2163621E+000  -0.8812060E-001   0.1233879E-001
   0.7852776E-001   0.2365698E-002  -0.1247716E+000   0.2060033E+000   0.4237989E-001   0.1421557E-001
