 # filt(alp*rho*Vry/tfpF)    filt(alp*rho*Vry)/filt(tfpF)
   0.8059100E+001   0.7695958E+001
   0.7309817E+002   0.7592083E+002
   0.1098352E+003   0.1126529E+003
   0.9539042E+002   0.9907377E+002
   0.1206235E+002   0.2314265E+002
  -0.5334379E+002  -0.4799672E+002
  -0.7511354E+002  -0.7567343E+002
  -0.7909984E+002  -0.7973710E+002
  -0.8139671E+002  -0.8532862E+002
  -0.7620786E+002  -0.8095374E+002
  -0.2013939E+003  -0.1985135E+003
  -0.4613597E+003  -0.4447391E+003
  -0.3357782E+003  -0.3170742E+003
  -0.5707680E+002  -0.5144574E+002
   0.4223168E+002   0.4035871E+002
   0.2715733E+003   0.2493620E+003
   0.5620382E+003   0.5241321E+003
   0.6290699E+003   0.5307720E+003
   0.5279241E+003   0.4421969E+003
   0.4119379E+003   0.3438078E+003
   0.1762495E+003   0.1489760E+003
   0.7374818E+000   0.6594383E+000
  -0.8555980E+002  -0.9104043E+002
  -0.9789117E+002  -0.9920538E+002
  -0.5865932E+002  -0.5905201E+002
  -0.3826351E+002  -0.3903716E+002
  -0.6333349E+002  -0.6680300E+002
   0.9065531E+002   0.5421750E+002
   0.3073112E+003   0.2941849E+003
   0.1906935E+003   0.1929865E+003
  -0.1636603E+002  -0.1495556E+002
  -0.1238435E+003  -0.1231299E+003
  -0.2115715E+003  -0.2125515E+003
  -0.2473390E+003  -0.2496504E+003
  -0.3038740E+003  -0.3038536E+003
  -0.3593125E+003  -0.3490707E+003
  -0.3385263E+003  -0.3366643E+003
  -0.2873257E+003  -0.2867782E+003
  -0.2127570E+003  -0.2154492E+003
  -0.1021478E+003  -0.1056997E+003
  -0.1167433E+002  -0.1393864E+002
   0.3824454E+002   0.3782368E+002
   0.6288896E+002   0.6443853E+002
   0.8883002E+002   0.9254750E+002
   0.4431546E+002   0.4513893E+002
  -0.3943845E+002  -0.3916363E+002
  -0.1116441E+003  -0.1115181E+003
  -0.1117436E+003  -0.1116227E+003
  -0.6483003E+002  -0.6647454E+002
  -0.1833209E+003  -0.1688960E+003
  -0.4918795E+003  -0.4654144E+003
  -0.5360189E+003  -0.5062617E+003
  -0.2313178E+003  -0.2211900E+003
  -0.4801983E+002  -0.4936896E+002
   0.2708614E+002   0.2597704E+002
   0.1989567E+003   0.1906683E+003
   0.4130953E+003   0.4406127E+003
